method,model,evaluation_scheme,split,nominal_coverage,EmpiricalCoverage,CoverageGap,MeanIntervalWidth,MedianIntervalWidth,StdIntervalWidth,BelowIntervalRate,AboveIntervalRate,MeanWinklerScore,MedianWinklerScore,UncertaintyErrorSpearman,n_rows,MAE,RMSE,R2,R,Bias,MedianAE,evaluation_fold,publication_group,publication_source,publication_country,publication_year
elastic_net_split_conformal,Elastic Net,shared_publication_held_out,test,0.9,1.0,0.09999999999999998,93.44180929863194,93.44180929863194,0.0,0.0,0.0,93.44180929863194,93.44180929863194,,2,6.003634743511341,6.432093378140696,-1.0430530975368586,1.0,6.003634743511341,6.003634743511341,shared_publication_test,Ref-68-Research,shared_semantic_dataset,,
elastic_net_split_conformal,Elastic Net,shared_publication_held_out,test,0.9,1.0,0.09999999999999998,93.44180929863194,93.44180929863194,1.1007680729470101e-14,0.0,0.0,93.44180929863194,93.44180929863194,,5,15.729592550231606,15.925260095240724,-213.94890082132451,0.2543290982783522,15.729592550231606,14.740771641296703,shared_publication_test,Ref-75-Research,shared_semantic_dataset,,
elastic_net_split_conformal,Elastic Net,shared_publication_held_out,test,0.9,1.0,0.09999999999999998,93.44180929863195,93.44180929863195,0.0,0.0,0.0,93.44180929863195,93.44180929863195,,2,3.0,3.004605181572434,-0.0030724774591019965,,0.16628979864056248,3.0,shared_publication_test,Ref-83-Research,shared_semantic_dataset,,
elastic_net_split_conformal,Elastic Net,shared_publication_held_out,test,0.9,1.0,0.09999999999999998,93.44180929863194,93.44180929863194,0.0,0.0,0.0,93.44180929863194,93.44180929863194,,2,44.846522915640406,44.85282665114234,-893.1226927099664,1.0,44.846522915640406,44.846522915640406,shared_publication_test,Ref-89-Research,shared_semantic_dataset,,
elastic_net_split_conformal,Elastic Net,shared_publication_held_out,test,0.9,1.0,0.09999999999999998,93.44180929863194,93.44180929863194,0.0,0.0,0.0,93.44180929863194,93.44180929863194,,4,7.850333852640134,9.078874240670725,-1.010389206778401,-0.9079593845004498,5.467625798646296,8.233041906633972,shared_publication_test,Ref-95-Research,shared_semantic_dataset,,
elastic_net_split_conformal,Elastic Net,shared_publication_held_out,test,0.9,1.0,0.09999999999999998,93.44180929863192,93.44180929863192,0.0,0.0,0.0,93.44180929863192,93.44180929863192,,1,1.024440253717998,1.024440253717998,,,-1.024440253717998,1.024440253717998,shared_publication_test,Ref-97-Research,shared_semantic_dataset,,
elastic_net_split_conformal,Elastic Net,shared_publication_held_out,test,0.9,0.6666666666666666,-0.2333333333333334,93.44180929863194,93.44180929863194,0.0,0.3333333333333333,0.0,162.63824807539459,93.44180929863194,,3,42.17585307024719,43.57766149240452,-9.459677619534494,0.7442040050546732,-42.17585307024719,38.35489685878875,shared_publication_test,Ref-108-Research,shared_semantic_dataset,,
elastic_net_split_conformal,Elastic Net,shared_publication_held_out,test,0.9,0.0,-0.9,93.44180929863194,93.44180929863194,0.0,0.0,1.0,766.6766165594606,766.6766165594606,,2,80.3826450123574,80.4139406205987,-63.66401846133172,0.9999999999999998,80.3826450123574,80.3826450123574,shared_publication_test,Ref-109-Research,shared_semantic_dataset,,
elastic_net_split_conformal,Elastic Net,shared_publication_held_out,test,0.9,0.0,-0.9,93.44180929863194,93.44180929863194,0.0,0.0,1.0,301.35114320774335,301.35114320774335,,2,57.11637134477154,57.441131690564106,-161.93746221692484,1.0,57.11637134477154,57.11637134477154,shared_publication_test,Ref-111-Research,shared_semantic_dataset,,
elastic_net_split_conformal,Elastic Net,shared_publication_held_out,test,0.9,1.0,0.09999999999999998,93.44180929863194,93.44180929863194,0.0,0.0,0.0,93.44180929863194,93.44180929863194,,3,17.24949965716497,17.482580603625316,-33.30737866126607,0.6082328061519774,17.24949965716497,17.681776817945575,shared_publication_test,Ref-128-Research,shared_semantic_dataset,,
