method,model,evaluation_scheme,split,nominal_coverage,EmpiricalCoverage,CoverageGap,MeanIntervalWidth,MedianIntervalWidth,StdIntervalWidth,BelowIntervalRate,AboveIntervalRate,MeanWinklerScore,MedianWinklerScore,UncertaintyErrorSpearman,n_rows,MAE,RMSE,R2,R,Bias,MedianAE,evaluation_fold,publication_group,publication_source,publication_country,publication_year,MethodMedianPublicationWidth,ConfidenceDiagnostic,MiscoverageShortfall,NarrowWrongScore,CoverageEvidence
bayesian_ridge_conformalized,Bayesian Ridge,leave_one_publication_out,heldout_publication,0.9,0.8493150684931506,-0.050684931506849384,98.97651332782607,98.4767300629257,1.0552174804052576,0.1506849315068493,0.0,123.73596988495358,98.60901347556592,-0.328591707159543,73,40.93040338802712,42.130883079945214,-10.384509136281443,0.6230607861416141,-40.93040338802712,41.55394113350681,Ref-141-Research,Ref-141-Research,shared_semantic_dataset,,,99.57868275312426,narrow_but_wrong,0.050684931506849384,0.0005120904930139616,more_stable_n_ge_10
elastic_net_split_conformal,Elastic Net,leave_one_publication_out,heldout_publication,0.9,0.859375,-0.04062500000000002,98.50825564764236,98.50825564764237,1.4210854715202004e-14,0.0,0.140625,117.46539109512074,98.50825564764237,,64,26.164259009378718,31.492343303662437,-0.07366845888505802,0.9439663499320616,22.73108042665858,22.233010394435922,Ref-85-Research,Ref-85-Research,shared_semantic_dataset,,,98.58295245527985,narrow_but_wrong,0.04062500000000002,0.00041240198329481147,more_stable_n_ge_10
elastic_net_split_conformal,Elastic Net,leave_one_publication_out,heldout_publication,0.9,0.8611111111111112,-0.03888888888888886,95.81380277538722,95.81380277538722,0.0,0.041666666666666664,0.09722222222222222,112.0787640688755,95.81380277538722,,72,27.184904267135046,31.726317768990363,-0.2586148999253277,0.40291374399887114,17.437360164022945,24.496863569827212,Ref-48-Research,Ref-48-Research,shared_semantic_dataset,,,98.58295245527985,narrow_but_wrong,0.03888888888888886,0.0004058798185899651,more_stable_n_ge_10
elastic_net_bootstrap_conformalized,Elastic Net,leave_one_publication_out,heldout_publication,0.9,0.875,-0.025000000000000022,95.65969189289768,95.63925814054866,4.682745784097422,0.041666666666666664,0.08333333333333333,113.80480307403519,96.46156243789565,0.15280725448581906,72,27.184904267135046,31.726317768990363,-0.2586148999253277,0.40291374399887114,17.437360164022945,24.496863569827212,Ref-48-Research,Ref-48-Research,shared_semantic_dataset,,,96.29152747655192,narrow_but_wrong,0.025000000000000022,0.00026134309556412197,more_stable_n_ge_10
elastic_net_bootstrap_conformalized,Elastic Net,leave_one_publication_out,heldout_publication,0.9,0.875,-0.025000000000000022,96.92336306020617,96.89884381637145,3.543501159064425,0.0,0.125,116.20655779846697,97.72485256826076,0.09606227106227104,64,26.164259009378718,31.492343303662437,-0.07366845888505802,0.9439663499320616,22.73108042665858,22.233010394435922,Ref-85-Research,Ref-85-Research,shared_semantic_dataset,,,96.29152747655192,wide_and_wrong,0.025000000000000022,0.0002579357464564111,more_stable_n_ge_10
elastic_net_residual_bootstrap,Elastic Net,leave_one_publication_out,heldout_publication,0.9,0.8823529411764706,-0.01764705882352946,72.78256342016043,73.34409095112656,4.159577469120188,0.11764705882352941,0.0,117.88240772001555,73.48529836079149,0.13864253393665157,51,19.335088251376146,25.917872376516588,-0.7217882769875676,0.46356167732151,-16.86227306072869,14.217837356991083,Ref-139-Research,Ref-139-Research,shared_semantic_dataset,,,72.12912162731894,wide_and_wrong,0.01764705882352946,0.00024246272725592552,more_stable_n_ge_10
elastic_net_residual_bootstrap,Elastic Net,leave_one_publication_out,heldout_publication,0.9,0.9315068493150684,0.03150684931506842,71.98678476867336,71.20717102137822,3.798208592022167,0.0684931506849315,0.0,84.56540034372645,71.20717102137822,0.07713311634134415,73,24.203779494836244,26.214117110539572,-3.4074120645108845,0.6061470214425221,-24.203779494836244,24.567812357548377,Ref-141-Research,Ref-141-Research,shared_semantic_dataset,,,72.12912162731894,well_calibrated_or_sharp,0.0,0.0,more_stable_n_ge_10
elastic_net_bootstrap_conformalized,Elastic Net,leave_one_publication_out,heldout_publication,0.9,0.9642857142857143,0.06428571428571428,95.25041480263424,95.16730062898728,4.272697389032035,0.008928571428571428,0.026785714285714284,101.27853117910487,95.31463879861778,0.05957246887533781,112,19.381002464845636,24.176118973000108,0.34759319010350465,0.8104616052921717,9.780505307616895,16.522234567240417,Ref-144-Research,Ref-144-Research,shared_semantic_dataset,,,96.29152747655192,well_calibrated_or_sharp,0.0,0.0,more_stable_n_ge_10
elastic_net_bootstrap_conformalized,Elastic Net,leave_one_publication_out,heldout_publication,0.9,0.9215686274509803,0.021568627450980316,95.25760593118473,95.81913346215086,4.159577469120188,0.0784313725490196,0.0,116.72709968111617,95.89254754930191,0.13864253393665157,51,19.335088251376146,25.917872376516588,-0.7217882769875676,0.46356167732151,-16.86227306072869,14.217837356991083,Ref-139-Research,Ref-139-Research,shared_semantic_dataset,,,96.29152747655192,well_calibrated_or_sharp,0.0,0.0,more_stable_n_ge_10
elastic_net_split_conformal,Elastic Net,leave_one_publication_out,heldout_publication,0.9,0.9642857142857143,0.06428571428571428,96.32484077310872,96.32484077310875,2.842170943040401e-14,0.0,0.03571428571428571,102.50509371782356,96.32484077310875,,112,19.381002464845636,24.176118973000108,0.34759319010350465,0.8104616052921717,9.780505307616895,16.522234567240417,Ref-144-Research,Ref-144-Research,shared_semantic_dataset,,,98.58295245527985,well_calibrated_or_sharp,0.0,0.0,more_stable_n_ge_10
elastic_net_bootstrap_conformalized,Elastic Net,leave_one_publication_out,heldout_publication,0.9,0.9,0.0,97.6764580854225,98.13892587906261,4.104290099080564,0.0875,0.0125,112.69353978111826,98.41935437309903,-0.03442375086676749,80,23.299239277088954,28.490586364775613,0.03941431945422802,0.4222865359530422,-10.22637232491261,21.131017635355605,Ref-121-Research,Ref-121-Research,shared_semantic_dataset,,,96.29152747655192,wide_but_safe,0.0,0.0,more_stable_n_ge_10
bayesian_ridge_conformalized,Bayesian Ridge,leave_one_publication_out,heldout_publication,0.9,0.9642857142857143,0.06428571428571428,98.19633465697949,98.17066374752437,0.3595780428167948,0.0,0.03571428571428571,104.36981539682213,98.17227097186665,0.18948910635640095,112,19.646388069216602,24.47658806274536,0.33127574621552325,0.803156560877805,9.754836020234977,16.82759443362528,Ref-144-Research,Ref-144-Research,shared_semantic_dataset,,,99.57868275312426,well_calibrated_or_sharp,0.0,0.0,more_stable_n_ge_10
bayesian_ridge_conformalized,Bayesian Ridge,leave_one_publication_out,heldout_publication,0.9,0.9215686274509803,0.021568627450980316,98.45223060551086,98.2413324783357,1.317532546198845,0.0784313725490196,0.0,115.40220698697803,98.2413324783357,0.30268337964832576,51,21.157860748907023,27.543004294943252,-0.9444808580572488,0.49141701553295164,-18.764434906101272,16.628030850163952,Ref-139-Research,Ref-139-Research,shared_semantic_dataset,,,99.57868275312426,well_calibrated_or_sharp,0.0,0.0,more_stable_n_ge_10
elastic_net_split_conformal,Elastic Net,leave_one_publication_out,heldout_publication,0.9,0.9215686274509803,0.021568627450980316,98.65764926291735,98.65764926291735,0.0,0.0784313725490196,0.0,117.06149475188755,98.65764926291735,,51,19.335088251376146,25.917872376516588,-0.7217882769875676,0.46356167732151,-16.86227306072869,14.217837356991083,Ref-139-Research,Ref-139-Research,shared_semantic_dataset,,,98.58295245527985,wide_but_safe,0.0,0.0,more_stable_n_ge_10
elastic_net_split_conformal,Elastic Net,leave_one_publication_out,heldout_publication,0.9,0.9125,0.012499999999999956,99.05800262960724,99.05800262960724,0.0,0.075,0.0125,112.63228270824652,99.05800262960724,,80,23.299239277088954,28.490586364775613,0.03941431945422802,0.4222865359530422,-10.22637232491261,21.131017635355605,Ref-121-Research,Ref-121-Research,shared_semantic_dataset,,,98.58295245527985,wide_but_safe,0.0,0.0,more_stable_n_ge_10
elastic_net_bootstrap_conformalized,Elastic Net,leave_one_publication_out,heldout_publication,0.9,0.9863013698630136,0.08630136986301362,99.30460494583566,98.52499119854055,3.798208592022167,0.0136986301369863,0.0,99.9080986644619,98.52499119854055,0.07713311634134415,73,24.203779494836244,26.214117110539572,-3.4074120645108845,0.6061470214425221,-24.203779494836244,24.567812357548377,Ref-141-Research,Ref-141-Research,shared_semantic_dataset,,,96.29152747655192,wide_but_safe,0.0,0.0,more_stable_n_ge_10
bayesian_ridge_conformalized,Bayesian Ridge,leave_one_publication_out,heldout_publication,0.9,0.90625,0.006249999999999978,100.18085217842244,100.1524340775324,0.14225398168676073,0.0,0.09375,114.67905656197351,100.20130548429114,-0.3692307692307692,64,26.15841818151837,31.20925802778843,-0.05445276134654242,0.9431310457626414,22.57155573029427,22.61314077795953,Ref-85-Research,Ref-85-Research,shared_semantic_dataset,,,99.57868275312426,wide_but_safe,0.0,0.0,more_stable_n_ge_10
elastic_net_split_conformal,Elastic Net,leave_one_publication_out,heldout_publication,0.9,0.9863013698630136,0.08630136986301362,103.3517330843365,103.3517330843365,0.0,0.0136986301369863,0.0,104.56129678627853,103.3517330843365,,73,24.203779494836244,26.214117110539572,-3.4074120645108845,0.6061470214425221,-24.203779494836244,24.567812357548377,Ref-141-Research,Ref-141-Research,shared_semantic_dataset,,,98.58295245527985,wide_but_safe,0.0,0.0,more_stable_n_ge_10
bayesian_ridge_conformalized,Bayesian Ridge,leave_one_publication_out,heldout_publication,0.9,0.9583333333333334,0.05833333333333335,104.59883517423697,103.21073410175703,4.222835658033692,0.041666666666666664,0.0,111.18446085412471,103.74445954503996,-0.06402277409228226,72,22.687149209200683,27.583506454011683,0.04862337632184577,0.45145100066978594,10.168935680370733,19.77667044891524,Ref-48-Research,Ref-48-Research,shared_semantic_dataset,,,99.57868275312426,wide_but_safe,0.0,0.0,more_stable_n_ge_10
bayesian_ridge_conformalized,Bayesian Ridge,leave_one_publication_out,heldout_publication,0.9,0.9625,0.0625,107.88237700709014,107.38906727556747,1.699717941738835,0.0375,0.0,114.91281468911288,107.38906727556747,0.2953554386583736,80,22.983316604694497,28.02270167472894,0.0707055573123917,0.4427818632499927,-9.634368324794297,19.606233120870925,Ref-121-Research,Ref-121-Research,shared_semantic_dataset,,,99.57868275312426,wide_but_safe,0.0,0.0,more_stable_n_ge_10
