method,model,evaluation_scheme,split,nominal_coverage,EmpiricalCoverage,CoverageGap,MeanIntervalWidth,MedianIntervalWidth,StdIntervalWidth,BelowIntervalRate,AboveIntervalRate,MeanWinklerScore,MedianWinklerScore,UncertaintyErrorSpearman,n_rows,MAE,RMSE,R2,R,Bias,MedianAE,evaluation_fold
bayesian_ridge_native,Bayesian Ridge,leave_one_publication_out,heldout_publication,0.5,0.3625,-0.1375,30.14344144192652,30.00560564874678,0.4749186073387073,0.4375,0.2,73.09237592653831,48.497354368575856,0.2953554386583736,80,22.983316604694497,28.02270167472894,0.0707055573123917,0.4427818632499927,-9.634368324794297,19.606233120870925,Ref-121-Research
bayesian_ridge_native,Bayesian Ridge,leave_one_publication_out,heldout_publication,0.8,0.6875,-0.11250000000000004,57.27347904037482,57.011586733655236,0.902360168652292,0.2375,0.075,100.51135452968784,57.18754540428151,0.2953554386583736,80,22.983316604694497,28.02270167472894,0.0707055573123917,0.4427818632499927,-9.634368324794297,19.606233120870925,Ref-121-Research
bayesian_ridge_native,Bayesian Ridge,leave_one_publication_out,heldout_publication,0.9,0.8,-0.09999999999999998,73.50971452144117,73.17357938481456,1.1581667379833638,0.175,0.025,116.98789426489657,73.35199463480805,0.2953554386583736,80,22.983316604694497,28.02270167472894,0.0707055573123917,0.4427818632499927,-9.634368324794297,19.606233120870925,Ref-121-Research
bayesian_ridge_native,Bayesian Ridge,leave_one_publication_out,heldout_publication,0.95,0.9,-0.04999999999999993,87.59222742687022,87.19169770742786,1.3800407874266154,0.075,0.025,128.92900603681807,87.31616860423821,0.2953554386583736,80,22.983316604694497,28.02270167472894,0.0707055573123917,0.4427818632499927,-9.634368324794297,19.606233120870925,Ref-121-Research
bayesian_ridge_conformalized,Bayesian Ridge,leave_one_publication_out,heldout_publication,0.5,0.6375,0.13749999999999996,53.58812591132194,53.34308548174016,0.8442963679753486,0.275,0.0875,73.43090992006408,53.6607340582658,0.2953554386583736,80,22.983316604694497,28.02270167472894,0.0707055573123917,0.4427818632499927,-9.634368324794297,19.606233120870925,Ref-121-Research
bayesian_ridge_conformalized,Bayesian Ridge,leave_one_publication_out,heldout_publication,0.8,0.9,0.09999999999999998,87.39616162508821,86.99652844844293,1.376951714212849,0.075,0.025,97.83006785699118,87.12072073050746,0.2953554386583736,80,22.983316604694497,28.02270167472894,0.0707055573123917,0.4427818632499927,-9.634368324794297,19.606233120870925,Ref-121-Research
bayesian_ridge_conformalized,Bayesian Ridge,leave_one_publication_out,heldout_publication,0.9,0.9625,0.0625,107.88237700709014,107.38906727556747,1.699717941738835,0.0375,0.0,114.91281468911288,107.38906727556747,0.2953554386583736,80,22.983316604694497,28.02270167472894,0.0707055573123917,0.4427818632499927,-9.634368324794297,19.606233120870925,Ref-121-Research
bayesian_ridge_conformalized,Bayesian Ridge,leave_one_publication_out,heldout_publication,0.95,0.9875,0.03750000000000009,129.98507318787114,129.39069527986447,2.0479522901237117,0.0125,0.0,132.27001698346848,129.39069527986447,0.2953554386583736,80,22.983316604694497,28.02270167472894,0.0707055573123917,0.4427818632499927,-9.634368324794297,19.606233120870925,Ref-121-Research
elastic_net_residual_bootstrap,Elastic Net,leave_one_publication_out,heldout_publication,0.5,0.3375,-0.16249999999999998,27.22570166630001,26.92440335598964,1.8693041968543842,0.4625,0.2,74.61425984698253,58.238422858880185,-0.024261887740622646,80,23.299239277088954,28.490586364775613,0.03941431945422802,0.4222865359530422,-10.22637232491261,21.131017635355605,Ref-121-Research
elastic_net_bootstrap_conformalized,Elastic Net,leave_one_publication_out,heldout_publication,0.5,0.4625,-0.03749999999999998,39.128007198459244,38.82670888814887,1.8693041968543842,0.375,0.1625,72.1860134568605,46.33611732672095,-0.024261887740622646,80,23.299239277088954,28.490586364775613,0.03941431945422802,0.4222865359530422,-10.22637232491261,21.131017635355605,Ref-121-Research
elastic_net_residual_bootstrap,Elastic Net,leave_one_publication_out,heldout_publication,0.8,0.65,-0.15000000000000002,55.1470426158012,55.10897346293733,3.2560804114312893,0.2625,0.0875,105.53428064982354,57.719513981379805,-0.11485132269099581,80,23.299239277088954,28.490586364775613,0.03941431945422802,0.4222865359530422,-10.22637232491261,21.131017635355605,Ref-121-Research
elastic_net_bootstrap_conformalized,Elastic Net,leave_one_publication_out,heldout_publication,0.8,0.725,-0.07500000000000007,68.5832279950617,68.54515884219784,3.2560804114312893,0.225,0.05,98.61940568076623,70.03930794661382,-0.11485132269099581,80,23.299239277088954,28.490586364775613,0.03941431945422802,0.4222865359530422,-10.22637232491261,21.131017635355605,Ref-121-Research
elastic_net_residual_bootstrap,Elastic Net,leave_one_publication_out,heldout_publication,0.9,0.7625,-0.13750000000000007,72.74991803953151,73.21238583317164,4.104290099080564,0.2,0.0375,126.85146950733065,74.22439178409813,-0.03442375086676749,80,23.299239277088954,28.490586364775613,0.03941431945422802,0.4222865359530422,-10.22637232491261,21.131017635355605,Ref-121-Research
elastic_net_bootstrap_conformalized,Elastic Net,leave_one_publication_out,heldout_publication,0.9,0.9,0.0,97.6764580854225,98.13892587906261,4.104290099080564,0.0875,0.0125,112.69353978111826,98.41935437309903,-0.03442375086676749,80,23.299239277088954,28.490586364775613,0.03941431945422802,0.4222865359530422,-10.22637232491261,21.131017635355605,Ref-121-Research
elastic_net_residual_bootstrap,Elastic Net,leave_one_publication_out,heldout_publication,0.95,0.875,-0.07499999999999996,88.74355640257953,89.07641007139182,6.081804429584332,0.1125,0.0125,146.80625890806778,89.46004323252606,-0.13734338190561168,80,23.299239277088954,28.490586364775613,0.03941431945422802,0.4222865359530422,-10.22637232491261,21.131017635355605,Ref-121-Research
elastic_net_bootstrap_conformalized,Elastic Net,leave_one_publication_out,heldout_publication,0.95,0.975,0.025000000000000022,122.24488650012556,122.57774016893785,6.081804429584331,0.025,0.0,128.5822650295378,122.57774016893785,-0.13734338190561168,80,23.299239277088954,28.490586364775613,0.03941431945422802,0.4222865359530422,-10.22637232491261,21.131017635355605,Ref-121-Research
elastic_net_split_conformal,Elastic Net,leave_one_publication_out,heldout_publication,0.5,0.3424657534246575,-0.15753424657534248,41.8430552242429,41.8430552242429,0.0,0.6575342465753424,0.0,64.34857940847792,56.428194205950604,,73,24.203779494836244,26.214117110539572,-3.4074120645108845,0.6061470214425221,-24.203779494836244,24.567812357548377,Ref-141-Research
elastic_net_split_conformal,Elastic Net,leave_one_publication_out,heldout_publication,0.8,0.9315068493150684,0.1315068493150684,80.389378198349,80.389378198349,0.0,0.0684931506849315,0.0,86.39604772426308,80.389378198349,,73,24.203779494836244,26.214117110539572,-3.4074120645108845,0.6061470214425221,-24.203779494836244,24.567812357548377,Ref-141-Research
elastic_net_split_conformal,Elastic Net,leave_one_publication_out,heldout_publication,0.9,0.9863013698630136,0.08630136986301362,103.3517330843365,103.3517330843365,0.0,0.0136986301369863,0.0,104.56129678627853,103.3517330843365,,73,24.203779494836244,26.214117110539572,-3.4074120645108845,0.6061470214425221,-24.203779494836244,24.567812357548377,Ref-141-Research
elastic_net_split_conformal,Elastic Net,leave_one_publication_out,heldout_publication,0.95,1.0,0.050000000000000044,123.7257259020389,123.7257259020389,0.0,0.0,0.0,123.7257259020389,123.7257259020389,,73,24.203779494836244,26.214117110539572,-3.4074120645108845,0.6061470214425221,-24.203779494836244,24.567812357548377,Ref-141-Research
bayesian_ridge_native,Bayesian Ridge,leave_one_publication_out,heldout_publication,0.5,0.0,-0.5,30.250209944103343,30.09746109307332,0.3225063123129114,1.0,0.0,133.47140360800515,135.7272534579298,-0.328591707159543,73,40.93040338802712,42.130883079945214,-10.384509136281443,0.6230607861416141,-40.93040338802712,41.55394113350681,Ref-141-Research
bayesian_ridge_native,Bayesian Ridge,leave_one_publication_out,heldout_publication,0.8,0.0958904109589041,-0.704109589041096,57.4763425250694,57.186114943233235,0.6127720537227921,0.9041095890410958,0.0,183.5253296795843,183.32966064825175,-0.328591707159543,73,40.93040338802712,42.130883079945214,-10.384509136281443,0.6230607861416141,-40.93040338802712,41.55394113350681,Ref-141-Research
