method,model,evaluation_scheme,evaluation_fold,calibration_score_type,alpha,nominal_coverage,n_calibration_rows,finite_sample_rank,quantile_level,q_hat,bootstrap_repetitions
elastic_net_bootstrap_conformalized,Elastic Net,leave_one_publication_out,Ref-141-Research,outside_bootstrap_interval_distance,0.09999999999999998,0.9,238,216.0,0.907563025210084,13.658910088581166,
elastic_net_residual_bootstrap,Elastic Net,leave_one_publication_out,Ref-141-Research,bootstrap_percentile_bounds,0.050000000000000044,0.95,238,,,,300.0
elastic_net_bootstrap_conformalized,Elastic Net,leave_one_publication_out,Ref-141-Research,outside_bootstrap_interval_distance,0.050000000000000044,0.95,238,228.0,0.957983193277311,19.768937193057667,
elastic_net_split_conformal,Elastic Net,leave_one_publication_out,Ref-48-Research,absolute_validation_residual,0.5,0.5,311,156.0,0.5016077170418006,22.456933360201873,
elastic_net_split_conformal,Elastic Net,leave_one_publication_out,Ref-48-Research,absolute_validation_residual,0.19999999999999996,0.8,311,250.0,0.8038585209003215,36.0828836148134,
elastic_net_split_conformal,Elastic Net,leave_one_publication_out,Ref-48-Research,absolute_validation_residual,0.09999999999999998,0.9,311,281.0,0.9035369774919614,47.90690138769361,
elastic_net_split_conformal,Elastic Net,leave_one_publication_out,Ref-48-Research,absolute_validation_residual,0.050000000000000044,0.95,311,297.0,0.954983922829582,58.47899079689236,
bayesian_ridge_native,Bayesian Ridge,leave_one_publication_out,Ref-48-Research,gaussian_predictive_z,0.5,0.5,311,,,0.6744897501960817,
bayesian_ridge_native,Bayesian Ridge,leave_one_publication_out,Ref-48-Research,gaussian_predictive_z,0.19999999999999996,0.8,311,,,1.2815515655446006,
bayesian_ridge_native,Bayesian Ridge,leave_one_publication_out,Ref-48-Research,gaussian_predictive_z,0.09999999999999998,0.9,311,,,1.6448536269514715,
bayesian_ridge_native,Bayesian Ridge,leave_one_publication_out,Ref-48-Research,gaussian_predictive_z,0.050000000000000044,0.95,311,,,1.9599639845400534,
bayesian_ridge_conformalized,Bayesian Ridge,leave_one_publication_out,Ref-48-Research,absolute_residual_over_predictive_std,0.5,0.5,311,156.0,0.5016077170418006,1.135174795435913,
bayesian_ridge_conformalized,Bayesian Ridge,leave_one_publication_out,Ref-48-Research,absolute_residual_over_predictive_std,0.19999999999999996,0.8,311,250.0,0.8038585209003215,1.9699115852823157,
bayesian_ridge_conformalized,Bayesian Ridge,leave_one_publication_out,Ref-48-Research,absolute_residual_over_predictive_std,0.09999999999999998,0.9,311,281.0,0.9035369774919614,2.273578204175065,
bayesian_ridge_conformalized,Bayesian Ridge,leave_one_publication_out,Ref-48-Research,absolute_residual_over_predictive_std,0.050000000000000044,0.95,311,297.0,0.954983922829582,2.9055517424159913,
elastic_net_residual_bootstrap,Elastic Net,leave_one_publication_out,Ref-48-Research,bootstrap_percentile_bounds,0.5,0.5,311,,,,300.0
elastic_net_bootstrap_conformalized,Elastic Net,leave_one_publication_out,Ref-48-Research,outside_bootstrap_interval_distance,0.5,0.5,311,156.0,0.5016077170418006,6.289898924271853,
elastic_net_residual_bootstrap,Elastic Net,leave_one_publication_out,Ref-48-Research,bootstrap_percentile_bounds,0.19999999999999996,0.8,311,,,,300.0
elastic_net_bootstrap_conformalized,Elastic Net,leave_one_publication_out,Ref-48-Research,outside_bootstrap_interval_distance,0.19999999999999996,0.8,311,250.0,0.8038585209003215,7.328614810455548,
elastic_net_residual_bootstrap,Elastic Net,leave_one_publication_out,Ref-48-Research,bootstrap_percentile_bounds,0.09999999999999998,0.9,311,,,,300.0
elastic_net_bootstrap_conformalized,Elastic Net,leave_one_publication_out,Ref-48-Research,outside_bootstrap_interval_distance,0.09999999999999998,0.9,311,281.0,0.9035369774919614,11.694116703466591,
elastic_net_residual_bootstrap,Elastic Net,leave_one_publication_out,Ref-48-Research,bootstrap_percentile_bounds,0.050000000000000044,0.95,311,,,,300.0
elastic_net_bootstrap_conformalized,Elastic Net,leave_one_publication_out,Ref-48-Research,outside_bootstrap_interval_distance,0.050000000000000044,0.95,311,297.0,0.954983922829582,13.641048814281504,
elastic_net_split_conformal,Elastic Net,leave_one_publication_out,Ref-85-Research,absolute_validation_residual,0.5,0.5,311,156.0,0.5016077170418006,22.019980867394224,
elastic_net_split_conformal,Elastic Net,leave_one_publication_out,Ref-85-Research,absolute_validation_residual,0.19999999999999996,0.8,311,250.0,0.8038585209003215,36.32340218751921,
elastic_net_split_conformal,Elastic Net,leave_one_publication_out,Ref-85-Research,absolute_validation_residual,0.09999999999999998,0.9,311,281.0,0.9035369774919614,49.25412782382118,
elastic_net_split_conformal,Elastic Net,leave_one_publication_out,Ref-85-Research,absolute_validation_residual,0.050000000000000044,0.95,311,297.0,0.954983922829582,59.57992920686439,
bayesian_ridge_native,Bayesian Ridge,leave_one_publication_out,Ref-85-Research,gaussian_predictive_z,0.5,0.5,311,,,0.6744897501960817,
bayesian_ridge_native,Bayesian Ridge,leave_one_publication_out,Ref-85-Research,gaussian_predictive_z,0.19999999999999996,0.8,311,,,1.2815515655446006,
bayesian_ridge_native,Bayesian Ridge,leave_one_publication_out,Ref-85-Research,gaussian_predictive_z,0.09999999999999998,0.9,311,,,1.6448536269514715,
bayesian_ridge_native,Bayesian Ridge,leave_one_publication_out,Ref-85-Research,gaussian_predictive_z,0.050000000000000044,0.95,311,,,1.9599639845400534,
bayesian_ridge_conformalized,Bayesian Ridge,leave_one_publication_out,Ref-85-Research,absolute_residual_over_predictive_std,0.5,0.5,311,156.0,0.5016077170418006,1.142657265924222,
bayesian_ridge_conformalized,Bayesian Ridge,leave_one_publication_out,Ref-85-Research,absolute_residual_over_predictive_std,0.19999999999999996,0.8,311,250.0,0.8038585209003215,1.953274467427423,
bayesian_ridge_conformalized,Bayesian Ridge,leave_one_publication_out,Ref-85-Research,absolute_residual_over_predictive_std,0.09999999999999998,0.9,311,281.0,0.9035369774919614,2.3065783530405284,
bayesian_ridge_conformalized,Bayesian Ridge,leave_one_publication_out,Ref-85-Research,absolute_residual_over_predictive_std,0.050000000000000044,0.95,311,297.0,0.954983922829582,2.900678363168734,
elastic_net_residual_bootstrap,Elastic Net,leave_one_publication_out,Ref-85-Research,bootstrap_percentile_bounds,0.5,0.5,311,,,,300.0
elastic_net_bootstrap_conformalized,Elastic Net,leave_one_publication_out,Ref-85-Research,outside_bootstrap_interval_distance,0.5,0.5,311,156.0,0.5016077170418006,6.588710308803655,
elastic_net_residual_bootstrap,Elastic Net,leave_one_publication_out,Ref-85-Research,bootstrap_percentile_bounds,0.19999999999999996,0.8,311,,,,300.0
elastic_net_bootstrap_conformalized,Elastic Net,leave_one_publication_out,Ref-85-Research,outside_bootstrap_interval_distance,0.19999999999999996,0.8,311,250.0,0.8038585209003215,8.784503872344033,
elastic_net_residual_bootstrap,Elastic Net,leave_one_publication_out,Ref-85-Research,bootstrap_percentile_bounds,0.09999999999999998,0.9,311,,,,300.0
elastic_net_bootstrap_conformalized,Elastic Net,leave_one_publication_out,Ref-85-Research,outside_bootstrap_interval_distance,0.09999999999999998,0.9,311,281.0,0.9035369774919614,12.488790325358636,
elastic_net_residual_bootstrap,Elastic Net,leave_one_publication_out,Ref-85-Research,bootstrap_percentile_bounds,0.050000000000000044,0.95,311,,,,300.0
elastic_net_bootstrap_conformalized,Elastic Net,leave_one_publication_out,Ref-85-Research,outside_bootstrap_interval_distance,0.050000000000000044,0.95,311,297.0,0.954983922829582,16.10762198405024,
elastic_net_split_conformal,Elastic Net,leave_one_publication_out,Ref-139-Research,absolute_validation_residual,0.5,0.5,311,156.0,0.5016077170418006,22.141202934823866,
elastic_net_split_conformal,Elastic Net,leave_one_publication_out,Ref-139-Research,absolute_validation_residual,0.19999999999999996,0.8,311,250.0,0.8038585209003215,35.681487816650815,
elastic_net_split_conformal,Elastic Net,leave_one_publication_out,Ref-139-Research,absolute_validation_residual,0.09999999999999998,0.9,311,281.0,0.9035369774919614,49.32882463145867,
elastic_net_split_conformal,Elastic Net,leave_one_publication_out,Ref-139-Research,absolute_validation_residual,0.050000000000000044,0.95,311,297.0,0.954983922829582,56.60928234345843,
bayesian_ridge_native,Bayesian Ridge,leave_one_publication_out,Ref-139-Research,gaussian_predictive_z,0.5,0.5,311,,,0.6744897501960817,
bayesian_ridge_native,Bayesian Ridge,leave_one_publication_out,Ref-139-Research,gaussian_predictive_z,0.19999999999999996,0.8,311,,,1.2815515655446006,
bayesian_ridge_native,Bayesian Ridge,leave_one_publication_out,Ref-139-Research,gaussian_predictive_z,0.09999999999999998,0.9,311,,,1.6448536269514715,
bayesian_ridge_native,Bayesian Ridge,leave_one_publication_out,Ref-139-Research,gaussian_predictive_z,0.050000000000000044,0.95,311,,,1.9599639845400534,
bayesian_ridge_conformalized,Bayesian Ridge,leave_one_publication_out,Ref-139-Research,absolute_residual_over_predictive_std,0.5,0.5,311,156.0,0.5016077170418006,1.111943977399393,
bayesian_ridge_conformalized,Bayesian Ridge,leave_one_publication_out,Ref-139-Research,absolute_residual_over_predictive_std,0.19999999999999996,0.8,311,250.0,0.8038585209003215,1.864325464455771,
bayesian_ridge_conformalized,Bayesian Ridge,leave_one_publication_out,Ref-139-Research,absolute_residual_over_predictive_std,0.09999999999999998,0.9,311,281.0,0.9035369774919614,2.2103778393194644,
bayesian_ridge_conformalized,Bayesian Ridge,leave_one_publication_out,Ref-139-Research,absolute_residual_over_predictive_std,0.050000000000000044,0.95,311,297.0,0.954983922829582,2.7494604909280778,
elastic_net_residual_bootstrap,Elastic Net,leave_one_publication_out,Ref-139-Research,bootstrap_percentile_bounds,0.5,0.5,311,,,,300.0
elastic_net_bootstrap_conformalized,Elastic Net,leave_one_publication_out,Ref-139-Research,outside_bootstrap_interval_distance,0.5,0.5,311,156.0,0.5016077170418006,5.673610196981315,
elastic_net_residual_bootstrap,Elastic Net,leave_one_publication_out,Ref-139-Research,bootstrap_percentile_bounds,0.19999999999999996,0.8,311,,,,300.0
elastic_net_bootstrap_conformalized,Elastic Net,leave_one_publication_out,Ref-139-Research,outside_bootstrap_interval_distance,0.19999999999999996,0.8,311,250.0,0.8038585209003215,8.143438177990802,
elastic_net_residual_bootstrap,Elastic Net,leave_one_publication_out,Ref-139-Research,bootstrap_percentile_bounds,0.09999999999999998,0.9,311,,,,300.0
elastic_net_bootstrap_conformalized,Elastic Net,leave_one_publication_out,Ref-139-Research,outside_bootstrap_interval_distance,0.09999999999999998,0.9,311,281.0,0.9035369774919614,11.23752125551215,
elastic_net_residual_bootstrap,Elastic Net,leave_one_publication_out,Ref-139-Research,bootstrap_percentile_bounds,0.050000000000000044,0.95,311,,,,300.0
elastic_net_bootstrap_conformalized,Elastic Net,leave_one_publication_out,Ref-139-Research,outside_bootstrap_interval_distance,0.050000000000000044,0.95,311,297.0,0.954983922829582,15.80888337915033,
