,Cement Amount  (kg/m³),Cement type	,Cement Grade (Mpa),Silica Fume (kg/m³),Flayash Amount   (kg/m³),Fly Ash Type ,Limestone Powder  (kg/m3),Quartzpowder (kg/m3),Glass powder (kg/m3),Rice husk ash (kg/m3),Metakaolin (kg/m³),GGBFS  (kg/m³),Slag Amount   (kg/m³),Type of Slag ,Nano-CaCO3 (kg/m3),Nano-Al2O3 (kg/m3),Nano-TiO2 (kg/m3),Nano Silica (kg/m3),Filler (kg/m³),Type of Filler ,Amount  (kg/m³),Sand Type,Max Size (mm),Type of Fiber ,Amount / Quantity of Fiber ,Length (mm),Diameter (mm),Tensile Strength (MPa),"Nominal Young’s modulus, Gpa",Type of Fiber ,Amount / Quantity of Fiber ,Length (mm),Diameter (mm),Tensile Strength (MPa),"Nominal Young’s modulus, Gpa",Amount  (kg/m³),Type of Superplasticizer,Amount  (kg/m³),,,,,,,,Specimen ,Testing Standard ,1-day ,3-Day,7-Day,14-Day,21 days ,28-Day,56-Day,90-Day,Testing Standard ,Elastic Modulus (Gpa),Testing Standards ,Split Tensile Strength (Mpa),first-cracking strength (MPa),Direct Tensile Strength (Mpa),Peak tensile strain (%),Tensile Elastic Modulus (GPa),Strain capacity (%) ,Specimens ,Testing Standard ,LOP (Mpa), MOR (MPa),Peak Strength (MPa),"Residual 
Strength (f600)
 (MPa)","Residual 
Strength (f150)
 (MPa)","Toughness
 (J)",Testing Standards ,Air Content %,Air Void %,Porosity ,Testing Standards ,Water absorption (%),Testing Standards ,28-day Shrinkage (µstrain),56-day Shrinkage (µstrain),Testing Standards ,Cycles ,Testing Standards ,Total Charge Passed (Coulombs),Testing Standards ,Surface Resistivity (k?-mm),,,,
Control-CEM+SF,1000.00, Portland cement,52.50,250.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,1250.00,Silica sand,0.30 ,Straight Steel Fibers ,156.00,12.00,0.200,,,,,,,,,225.00,"high-performance polycarboxylate 
superplasticizer",24.80,Standard Curing ,20.00,50.00,,,,,70.7 x 70.7 x 70.7,GB/T 50081–2019,,98.00,,,,162.00,,,,,,,,,,,,40 x 40 x 160 ,GB/T 50081–2019,,,37.00,,,,,,,2.20,,,,,,,,,,,,China,"Understanding the micro-macro properties of sustainable ultra-high performance concrete incorporating high-volume recycled brick powder as cement and silica fume replacement

https://doi.org/10.1016/j.conbuildmat.2024.138170",2024,Ref-3-Research
Control-CEM+FA+SF,700.00, Portland cement,52.50,250.00,300.00,Class F,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,1250.00,Silica sand,0.30 ,Straight Steel Fibers ,156.00,12.00,0.200,,,,,,,,,225.00,"high-performance polycarboxylate 
superplasticizer",24.80,Standard Curing ,20.00,50.00,,,,,,GB/T 50081–2019,,,,,,,,,,,,,,,,,,,GB/T 50081–2019,,,,,,,,,,,,,,,,,,,,,,,,,
Control-CEM+GGBS+SF,700.00, Portland cement,52.50,250.00,0.00,,0.00,0.00,0.00,0.00,0.00,300.00,0.00,,0.00,0.00,0.00,0.00,0.00,,1250.00,Silica sand,0.30 ,Straight Steel Fibers ,156.00,12.00,0.200,,,,,,,,,225.00,"high-performance polycarboxylate 
superplasticizer",24.80,Standard Curing ,20.00,50.00,,,,,,GB/T 50081–2019,,,,,,,,,,,,,,,,,,,GB/T 50081–2019,,,,,,,,,,,,,,,,,,,,,,,,,
RBP? 10CEM,900.00, Portland cement,52.50,250.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,100.00,Recycled Brick Powder ,1250.00,Silica sand,0.30 ,Straight Steel Fibers ,156.00,12.00,0.200,,,,,,,,,225.00,"high-performance polycarboxylate 
superplasticizer",24.80,Standard Curing ,20.00,50.00,,,,,70.7 x 70.7 x 70.7,GB/T 50081–2019,,93.00,,,,167.00,,,,,,,,,,,,40 x 40 x 160 ,GB/T 50081–2019,,,40.00,,,,,,,2.08,,,,,,,,,,,,,,,
RBP? 20CEM,800.00, Portland cement,52.50,250.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,200.00,Recycled Brick Powder ,1250.00,Silica sand,0.30 ,Straight Steel Fibers ,156.00,12.00,0.200,,,,,,,,,225.00,"high-performance polycarboxylate 
superplasticizer",24.80,Standard Curing ,20.00,50.00,,,,,70.7 x 70.7 x 70.7,GB/T 50081–2019,,89.00,,,,157.00,,,,,,,,,,,,40 x 40 x 160 ,GB/T 50081–2019,,,38.00,,,,,,,2.00,,,,,,,,,,,,,,,
RBP? 30CEM,700.00, Portland cement,52.50,250.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,300.00,Recycled Brick Powder ,1250.00,Silica sand,0.30 ,Straight Steel Fibers ,156.00,12.00,0.200,,,,,,,,,225.00,"high-performance polycarboxylate 
superplasticizer",24.80,Standard Curing ,20.00,50.00,,,,,70.7 x 70.7 x 70.7,GB/T 50081–2019,,87.00,,,,156.00,,,,,,,,,,,,40 x 40 x 160 ,GB/T 50081–2019,,,36.50,,,,,,,2.30,,,,,,,,,,,,,,,
RBP? 50CEM,500.00, Portland cement,52.50,250.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,500.00,Recycled Brick Powder ,1250.00,Silica sand,0.30 ,Straight Steel Fibers ,156.00,12.00,0.200,,,,,,,,,225.00,"high-performance polycarboxylate 
superplasticizer",24.80,Standard Curing ,20.00,50.00,,,,,70.7 x 70.7 x 70.7,GB/T 50081–2019,,85.00,,,,152.00,,,,,,,,,,,,40 x 40 x 160 ,GB/T 50081–2019,,,35.00,,,,,,,3.30,,,,,,,,,,,,,,,
RBP? 70CEM,300.00, Portland cement,52.50,250.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,700.00,Recycled Brick Powder ,1250.00,Silica sand,0.30 ,Straight Steel Fibers ,156.00,12.00,0.200,,,,,,,,,225.00,"high-performance polycarboxylate 
superplasticizer",24.80,Standard Curing ,20.00,50.00,,,,,70.7 x 70.7 x 70.7,GB/T 50081–2019,,65.00,,,,132.00,,,,,,,,,,,,40 x 40 x 160 ,GB/T 50081–2019,,,32.00,,,,,,,4.50,,,,,,,,,,,,,,,
RBP? 30SF,1000.00, Portland cement,52.50,175.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,75.00,Recycled Brick Powder ,1250.00,Silica sand,0.30 ,Straight Steel Fibers ,156.00,12.00,0.200,,,,,,,,,225.00,"high-performance polycarboxylate 
superplasticizer",24.80,Standard Curing ,20.00,50.00,,,,,70.7 x 70.7 x 70.7,GB/T 50081–2019,,94.00,,,,168.00,,,,,,,,,,,,40 x 40 x 160 ,GB/T 50081–2019,,,39.00,,,,,,,2.00,,,,,,,,,,,,,,,
RBP? 50SF,1000.00, Portland cement,52.50,125.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,125.00,Recycled Brick Powder ,1250.00,Silica sand,0.30 ,Straight Steel Fibers ,156.00,12.00,0.200,,,,,,,,,225.00,"high-performance polycarboxylate 
superplasticizer",24.80,Standard Curing ,20.00,50.00,,,,,70.7 x 70.7 x 70.7,GB/T 50081–2019,,89.00,,,,152.00,,,,,,,,,,,,40 x 40 x 160 ,GB/T 50081–2019,,,36.00,,,,,,,2.15,,,,,,,,,,,,,,,
RBP? 70SF,1000.00, Portland cement,52.50,75.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,175.00,Recycled Brick Powder ,1250.00,Silica sand,0.30 ,Straight Steel Fibers ,156.00,12.00,0.200,,,,,,,,,225.00,"high-performance polycarboxylate 
superplasticizer",24.80,Standard Curing ,20.00,50.00,,,,,70.7 x 70.7 x 70.7,GB/T 50081–2019,,84.00,,,,150.00,,,,,,,,,,,,40 x 40 x 160 ,GB/T 50081–2019,,,34.00,,,,,,,2.50,,,,,,,,,,,,,,,
RBP? 100SF,1000.00, Portland cement,52.50,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,250.00,Recycled Brick Powder ,1250.00,Silica sand,0.30 ,Straight Steel Fibers ,156.00,12.00,0.200,,,,,,,,,225.00,"high-performance polycarboxylate 
superplasticizer",24.80,Standard Curing ,20.00,50.00,,,,,70.7 x 70.7 x 70.7,GB/T 50081–2019,,83.00,,,,147.00,,,,,,,,,,,,40 x 40 x 160 ,GB/T 50081–2019,,,30.00,,,,,,,4.15,,,,,,,,,,,,,,,
RBP? 30CEM+30SF,700.00, Portland cement,52.50,175.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,375.00,Recycled Brick Powder ,1250.00,Silica sand,0.30 ,Straight Steel Fibers ,156.00,12.00,0.200,,,,,,,,,225.00,"high-performance polycarboxylate 
superplasticizer",24.80,Standard Curing ,20.00,50.00,,,,,70.7 x 70.7 x 70.7,GB/T 50081–2019,,87.00,,,,166.00,,,,,,,,,,,,40 x 40 x 160 ,GB/T 50081–2019,,,39.50,,,,,,,2.25,,,,,,,,,,,,,,,
RBP? 30CEM+50SF,700.00, Portland cement,52.50,125.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,425.00,Recycled Brick Powder ,1250.00,Silica sand,0.30 ,Straight Steel Fibers ,156.00,12.00,0.200,,,,,,,,,225.00,"high-performance polycarboxylate 
superplasticizer",24.80,Standard Curing ,20.00,50.00,,,,,70.7 x 70.7 x 70.7,GB/T 50081–2019,,84.00,,,,150.00,,,,,,,,,,,,40 x 40 x 160 ,GB/T 50081–2019,,,36.50,,,,,,,3.05,,,,,,,,,,,,,,,
RBP? 30CEM+70SF,700.00, Portland cement,52.50,75.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,475.00,Recycled Brick Powder ,1250.00,Silica sand,0.30 ,Straight Steel Fibers ,156.00,12.00,0.200,,,,,,,,,225.00,"high-performance polycarboxylate 
superplasticizer",24.80,Standard Curing ,20.00,50.00,,,,,70.7 x 70.7 x 70.7,GB/T 50081–2019,,82.00,,,,147.00,,,,,,,,,,,,40 x 40 x 160 ,GB/T 50081–2019,,,35.00,,,,,,,3.20,,,,,,,,,,,,,,,
