,Cement Amount  (kg/m³),Cement type	,Cement Grade (Mpa),Silica Fume (kg/m³),Flayash Amount   (kg/m³),Fly Ash Type ,Limestone Powder  (kg/m3),Quartzpowder (kg/m3),Glass powder (kg/m3),Rice husk ash (kg/m3),Metakaolin (kg/m³),GGBFS  (kg/m³),Slag Amount   (kg/m³),Type of Slag ,Nano-CaCO3 (kg/m3),Nano-Al2O3 (kg/m3),Nano-TiO2 (kg/m3),Nano Silica (kg/m3),Filler (kg/m³),Type of Filler ,Amount  (kg/m³),Sand Type,Max Size (mm),Type of Fiber ,Amount / Quantity of Fiber ,Length (mm),Diameter (mm),Tensile Strength (MPa),"Nominal Young’s modulus, Gpa",Type of Fiber ,Amount / Quantity of Fiber ,Length (mm),Diameter (mm),Tensile Strength (MPa),"Nominal Young’s modulus, Gpa",Amount  (kg/m³),Type of Superplasticizer,Amount  (kg/m³),,,,,,,,Specimen ,Testing Standard ,1-day ,3-Day,7-Day,14-Day,21 days ,28-Day,56-Day,90-Day,Testing Standard ,Elastic Modulus (Gpa),Testing Standards ,Split Tensile Strength (Mpa),first-cracking strength (MPa),Direct Tensile Strength (Mpa),Peak tensile strain (%),Tensile Elastic Modulus (GPa),Strain capacity (%) ,Specimens ,Testing Standard ,LOP (Mpa), MOR (MPa),Peak Strength (MPa),"Residual 
Strength (f600)
 (MPa)","Residual 
Strength (f150)
 (MPa)","Toughness
 (J)",Testing Standards ,Air Content %,Air Void %,Porosity ,Testing Standards ,Water absorption (%),Testing Standards ,28-day Shrinkage (µstrain),56-day Shrinkage (µstrain),Testing Standards ,Cycles ,Testing Standards ,Total Charge Passed (Coulombs),Testing Standards ,Surface Resistivity (k?-mm),,,,
T0,810.00,cement (P?O 52.5),52.50,140.00,0.00,,150.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,991.00,Natural River sand,,,,,,,,,,,,,,190,"polycarboxylate-ether based 
superplasticizer ",35,Standard Curing ,20.00,,,EN 1015–3,,185,40 x 40 x 160 , EN 196-1(2005).,,,,,,120.00,122.90,,,,,,,,,,,,,,,,,,,,,,6.06,,,,,,,,,,,,,,,
Reference,810.00,High sulfate-resistant cement (Type HS cement),,225.00,0.00,,0.00,243.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,972.00,Quartz sand,0.60,,,,,,,,,,,,,196,"polycarboxylate (PCE)-based high-range
water-reducing admixture (HRWRA)",13,Standard Curing ,20.00,100.00,,ASTM C1437,,190,50 x 50 x 50 ,ASTM C109,52,,,,,175,185,190,,,,,,,,,,,,,,,,,,ASTM C185,,3.80,,,,,,,,,,,,,Canada,"Partial substitution of silica fume with fine glass powder in UHPC: Filling
the micro gap

https://doi.org/10.1016/j.conbuildmat.2017.02.084",2017,Ref-73-Research
GP-12,823.00,High sulfate-resistant cement (Type HS cement),,0.00,0.00,,0.00,247.00,229.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,987.00,Quartz sand,0.60,,,,,,,,,,,,,199,"polycarboxylate (PCE)-based high-range
water-reducing admixture (HRWRA)",13,Standard Curing ,20.00,100.00,,ASTM C1437,,160,50 x 50 x 50 ,ASTM C109,40,,,,,110,115,120,,,,,,,,,,,,,,,,,,ASTM C185,,6.50,,,,,,,,,,,,,,,,
GP-5,823.00,High sulfate-resistant cement (Type HS cement),,0.00,0.00,,0.00,247.00,229.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,987.00,Quartz sand,0.60,,,,,,,,,,,,,199,"polycarboxylate (PCE)-based high-range
water-reducing admixture (HRWRA)",13,Standard Curing ,20.00,100.00,,ASTM C1437,,185,50 x 50 x 50 ,ASTM C109,45,,,,,120,145,150,,,,,,,,,,,,,,,,,,ASTM C185,,5.20,,,,,,,,,,,,,,,,
GP-3.8,823.00,High sulfate-resistant cement (Type HS cement),,0.00,0.00,,0.00,247.00,229.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,987.00,Quartz sand,0.60,,,,,,,,,,,,,199,"polycarboxylate (PCE)-based high-range
water-reducing admixture (HRWRA)",13,Standard Curing ,20.00,100.00,,ASTM C1437,,250,50 x 50 x 50 ,ASTM C109,50,,,,,130,155,160,,,,,,,,,,,,,,,,,,ASTM C185,,4.70,,,,,,,,,,,,,,,,
GP-2.8,823.00,High sulfate-resistant cement (Type HS cement),,0.00,0.00,,0.00,247.00,229.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,987.00,Quartz sand,0.60,,,,,,,,,,,,,199,"polycarboxylate (PCE)-based high-range
water-reducing admixture (HRWRA)",13,Standard Curing ,20.00,100.00,,ASTM C1437,,260,50 x 50 x 50 ,ASTM C109,55,,,,,135,155,161,,,,,,,,,,,,,,,,,,ASTM C185,,4.30,,,,,,,,,,,,,,,,
70SF/30 FGP,813.00,High sulfate-resistant cement (Type HS cement),,163.00,0.00,,0.00,244.00,63.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,976.00,Quartz sand,0.60,,,,,,,,,,,,,198,"polycarboxylate (PCE)-based high-range
water-reducing admixture (HRWRA)",13,Standard Curing ,20.00,100.00,,ASTM C1437,,220,50 x 50 x 50 ,ASTM C109,50.00,,120.00,,,180.00,180.00,200.00,,,,,,,,,,,,,,,,,,ASTM C185,,3.30,,,,,,,,,,,,,,,,
50SF/50 FGP,816.00,High sulfate-resistant cement (Type HS cement),,113.00,0.00,,0.00,245.00,113.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,980.00,Quartz sand,0.60,,,,,,,,,,,,,197,"polycarboxylate (PCE)-based high-range
water-reducing admixture (HRWRA)",13,Standard Curing ,20.00,100.00,,ASTM C1437,,230,50 x 50 x 50 ,ASTM C109,49.00,,115.00,,,171.00,178.00,188.00,,,,,,,,,,,,,,,,,,ASTM C185,,3.80,,,,,,,,,,,,,,,,
30SF/70 FGP,819.00,High sulfate-resistant cement (Type HS cement),,68.00,0.00,,0.00,246.00,159.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,983.00,Quartz sand,0.60,,,,,,,,,,,,,198,"polycarboxylate (PCE)-based high-range
water-reducing admixture (HRWRA)",13,Standard Curing ,20.00,100.00,,ASTM C1437,,270,50 x 50 x 50 ,ASTM C109,48.00,,113.00,,,168.00,175.00,180.00,,,,,,,,,,,,,,,,,,ASTM C185,,3.90,,,,,,,,,,,,,,,,
0SF/100 FGP,823.00,High sulfate-resistant cement (Type HS cement),,0.00,0.00,,0.00,247.00,229.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,987.00,Quartz sand,0.60,,,,,,,,,,,,,199,"polycarboxylate (PCE)-based high-range
water-reducing admixture (HRWRA)",13,Standard Curing ,20.00,100.00,,ASTM C1437,,255,50 x 50 x 50 ,ASTM C109,46.00,,105.00,,,145.00,150.00,165.00,,,,,,,,,,,,,,,,,,ASTM C185,,4.80,,,,,,,,,,,,,,,,
Reference,810.00,High sulfate-resistant cement (Type HS cement),,225.00,0.00,,0.00,243.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,972.00,Quartz sand,0.60,,,,,,,,,,,,,196,"polycarboxylate (PCE)-based high-range
water-reducing admixture (HRWRA)",13,steam hot curing,90.00,100.00,,ASTM C1437,,190,50 x 50 x 50 ,ASTM C109,,,,,,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GP-12,823.00,High sulfate-resistant cement (Type HS cement),,0.00,0.00,,0.00,247.00,229.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,987.00,Quartz sand,0.60,,,,,,,,,,,,,199,"polycarboxylate (PCE)-based high-range
water-reducing admixture (HRWRA)",13,steam hot curing,90.00,100.00,,ASTM C1437,,160,50 x 50 x 50 ,ASTM C109,,,,,,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GP-5,823.00,High sulfate-resistant cement (Type HS cement),,0.00,0.00,,0.00,247.00,229.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,987.00,Quartz sand,0.60,,,,,,,,,,,,,199,"polycarboxylate (PCE)-based high-range
water-reducing admixture (HRWRA)",13,steam hot curing,90.00,100.00,,ASTM C1437,,185,50 x 50 x 50 ,ASTM C109,,,,,,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GP-3.8,823.00,High sulfate-resistant cement (Type HS cement),,0.00,0.00,    ,0.00,247.00,229.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,987.00,Quartz sand,0.60,,,,,,,,,,,,,199,"polycarboxylate (PCE)-based high-range
water-reducing admixture (HRWRA)",13,steam hot curing,90.00,100.00,,ASTM C1437,,250,50 x 50 x 50 ,ASTM C109,,,,,,170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GP-2.8,823.00,High sulfate-resistant cement (Type HS cement),,0.00,0.00,,0.00,247.00,229.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,987.00,Quartz sand,0.60,,,,,,,,,,,,,199,"polycarboxylate (PCE)-based high-range
water-reducing admixture (HRWRA)",13,steam hot curing,90.00,100.00,,ASTM C1437,,260,50 x 50 x 50 ,ASTM C109,,,,,,171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70SF/30 FGP,813.00,High sulfate-resistant cement (Type HS cement),,163.00,0.00,,0.00,244.00,63.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,976.00,Quartz sand,0.60,,,,,,,,,,,,,198,"polycarboxylate (PCE)-based high-range
water-reducing admixture (HRWRA)",13,steam hot curing,90.00,100.00,,ASTM C1437,,220,50 x 50 x 50 ,ASTM C109,,,,,,230.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50SF/50 FGP,816.00,High sulfate-resistant cement (Type HS cement),,113.00,0.00,,0.00,245.00,113.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,980.00,Quartz sand,0.60,,,,,,,,,,,,,197,"polycarboxylate (PCE)-based high-range
water-reducing admixture (HRWRA)",13,steam hot curing,90.00,100.00,,ASTM C1437,,230,50 x 50 x 50 ,ASTM C109,,,,,,220.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30SF/70 FGP,819.00,High sulfate-resistant cement (Type HS cement),,68.00,0.00,,0.00,246.00,159.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,983.00,Quartz sand,0.60,,,,,,,,,,,,,198,"polycarboxylate (PCE)-based high-range
water-reducing admixture (HRWRA)",13,steam hot curing,90.00,100.00,,ASTM C1437,,270,50 x 50 x 50 ,ASTM C109,,,,,,200.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0SF/100 FGP,823.00,High sulfate-resistant cement (Type HS cement),,0.00,0.00,,0.00,247.00,229.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,987.00,Quartz sand,0.60,,,,,,,,,,,,,199,"polycarboxylate (PCE)-based high-range
water-reducing admixture (HRWRA)",13,steam hot curing,90.00,100.00,,ASTM C1437,,255,50 x 50 x 50 ,ASTM C109,,,,,,178.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MK0,1080.00,Ordinary Portland cement (P?O 52.5,52.50,120.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,780.00,Locally available sand,,,,,,,,,,,,,,180.00,polycarboxylate-based superplasticizer,35.00,Standard Curing ,20.00,95.00,,,,,100 x 100 x 300,ASTM C 348–14,,,83.00,,,90.00,,110.00,Chinese Standard GB/T 50081–2019,36.50,,,,,,,,100 x 100 x 300,ASTM C 348–14,,,22.00,,,,,,,,,,,,,,,,,,,China  ,"Multi-scale study on synergistic effect of cement replacement by metakaolin and typical supplementary cementitious materials on properties of ultra-high performance concrete

https://www.sciencedirect.com/science/article/pii/S0950061821028270",2021,Ref-74-Research
MK5,1020.00,Ordinary Portland cement (P?O 52.5,52.50,120.00,0.00,,0.00,0.00,0.00,0.00,60.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,780.00,Locally available sand,,,,,,,,,,,,,,180.00,polycarboxylate-based superplasticizer,37,Standard Curing ,20.00,95.00,,,,,100 x 100 x 300,ASTM C 348–14,,,71.00,,,95.00,,106.00,Chinese Standard GB/T 50081–2019,37.50,,,,,,,,100 x 100 x 300,ASTM C 348–14,,,21.00,,,,,,,,,,,,,,,,,,,,,,
MK10,960.00,Ordinary Portland cement (P?O 52.5,52.50,120.00,0.00,,0.00,0.00,0.00,0.00,120.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,780.00,Locally available sand,,,,,,,,,,,,,,180.00,polycarboxylate-based superplasticizer,38.00,Standard Curing ,20.00,95.00,,,,,100 x 100 x 300,ASTM C 348–14,,,83.00,,,114.00,,127.00,Chinese Standard GB/T 50081–2019,42.00,,,,,,,,100 x 100 x 300,ASTM C 348–14,,,27.00,,,,,,,,,,,,,,,,,,,,,,
MK15,900.00,Ordinary Portland cement (P?O 52.5,52.50,120.00,0.00,,0.00,0.00,0.00,0.00,180.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,780.00,Locally available sand,,,,,,,,,,,,,,180.00,polycarboxylate-based superplasticizer,39.00,Standard Curing ,20.00,95.00,,,,,100 x 100 x 300,ASTM C 348–14,,,78.00,,,110.00,,120.00,Chinese Standard GB/T 50081–2019,40.50,,,,,,,,100 x 100 x 300,ASTM C 348–14,,,24.50,,,,,,,,,,,,,,,,,,,,,,
MK20,840.00,Ordinary Portland cement (P?O 52.5,52.50,120.00,0.00,,0.00,0.00,0.00,0.00,240.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,780.00,Locally available sand,,,,,,,,,,,,,,180.00,polycarboxylate-based superplasticizer,41.00,Standard Curing ,20.00,95.00,,,,,100 x 100 x 300,ASTM C 348–14,,,73.00,,,95.00,,108.00,Chinese Standard GB/T 50081–2019,38.00,,,,,,,,100 x 100 x 300,ASTM C 348–14,,,24.00,,,,,,,,,,,,,,,,,,,,,,
MK0-S,1080.00,Ordinary Portland cement (P?O 52.5,52.50,120.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,780.00,Locally available sand,,Steel Fiber ,156.00,13.00,0.220,,,,,,,,,180.00,polycarboxylate-based superplasticizer,38.00,Standard Curing ,20.00,95.00,,,,,100 x 100 x 300,ASTM C 348–14,,,95.00,,,122.00,,132.00,Chinese Standard GB/T 50081–2019,43.00,,,,,,,,100 x 100 x 300,ASTM C 348–14,,,26.00,,,,,,,,,,BS EN 12617–4,339.00,,,,ASTM C1202-12,70.00,,,,,,
MK10-S,960.00,Ordinary Portland cement (P?O 52.5,52.50,120.00,0.00,,0.00,0.00,0.00,0.00,120.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,780.00,Locally available sand,,Steel Fiber ,156.00,13.00,0.220,,,,,,,,,180.00,polycarboxylate-based superplasticizer,40.00,Standard Curing ,20.00,95.00,,,,,100 x 100 x 300,ASTM C 348–14,,,101.00,,,146.00,,152.00,Chinese Standard GB/T 50081–2019,47.00,,,,,,,,100 x 100 x 300,ASTM C 348–14,,,31.50,,,,,,,,,,BS EN 12617–4,290.00,,,,ASTM C1202-12,35.00,,,,,,
MK10-FA10-S,840.00,Ordinary Portland cement (P?O 52.5,52.50,120.00,120.00,Class F,0.00,0.00,0.00,0.00,120.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,780.00,Locally available sand,,Steel Fiber ,156.00,13.00,0.220,,,,,,,,,180.00,polycarboxylate-based superplasticizer,40.00,Standard Curing ,20.00,95.00,,,,,100 x 100 x 300,ASTM C 348–14,,,93.00,,,140.00,,155.00,Chinese Standard GB/T 50081–2019,45.70,,,,,,,,100 x 100 x 300,ASTM C 348–14,,,29.50,,,,,,,,,,BS EN 12617–4,260.00,,,,ASTM C1202-12,29.00,,,,,,
MK10-BS10-S,840.00,Ordinary Portland cement (P?O 52.5,52.50,120.00,0.00,,0.00,0.00,0.00,0.00,120.00,120.00,0.00,,0.00,0.00,0.00,0.00,0.00,,780.00,Locally available sand,,Steel Fiber ,156.00,13.00,0.220,,,,,,,,,180.00,polycarboxylate-based superplasticizer,42.00,Standard Curing ,20.00,95.00,,,,,100 x 100 x 300,ASTM C 348–14,,,96.00,,,154.00,,162.00,Chinese Standard GB/T 50081–2019,47.90,,,,,,,,100 x 100 x 300,ASTM C 348–14,,,33.00,,,,,,,,,,BS EN 12617–4,270.00,,,,ASTM C1202-12,27.00,,,,,,
MK10-GP10-S,840.00,Ordinary Portland cement (P?O 52.5,52.50,120.00,0.00,,0.00,0.00,120.00,0.00,120.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,780.00,Locally available sand,,Steel Fiber ,156.00,13.00,0.220,,,,,,,,,180.00,polycarboxylate-based superplasticizer,42.00,Standard Curing ,20.00,95.00,,,,,100 x 100 x 300,ASTM C 348–14,,,90.00,,,132.00,,150.00,Chinese Standard GB/T 50081–2019,44.50,,,,,,,,100 x 100 x 300,ASTM C 348–14,,,28.00,,,,,,,,,,BS EN 12617–4,300.00,,,,ASTM C1202-12,41.00,,,,,,
MK10-SP10-S,840.00,Ordinary Portland cement (P?O 52.5,52.50,120.00,0.00,,0.00,0.00,0.00,0.00,120.00,0.00,120.00,"steel slag 
powder",0.00,0.00,0.00,0.00,0.00,,780.00,Locally available sand,,Steel Fiber ,156.00,13.00,0.220,,,,,,,,,180.00,polycarboxylate-based superplasticizer,45.00,Standard Curing ,20.00,95.00,,,,,100 x 100 x 300,ASTM C 348–14,,,86.00,,,126.00,,135.00,Chinese Standard GB/T 50081–2019,43.30,,,,,,,,100 x 100 x 300,ASTM C 348–14,,,26.50,,,,,,,,,,BS EN 12617–4,296.00,,,,ASTM C1202-12,50.00,,,,,,
SP200,490.00,"Ordinary Portland Cement (OPC, P?O 52.5)",52.50,187.00,0.00,,270.00,0.00,0.00,0.00,0.00,0.00,200.00,,0.00,0.00,0.00,0.00,0.00,,920.00,Natural River sand,0.60,,,,,,,,,,,,,204,PC-100 polycarboxylic ether superplasticizer (SP),41.8,Standard Curing ,20.00,95.00,,EFNARC,,218,40 x 40 x 160 , EN-196–1 ,,79.78,96.06,,,130.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,China,"A new development of eco-friendly Ultra-High performance concrete 
(UHPC): Towards efficient steel slag application and 
multi-objective optimization 

https://doi.org/10.1016/j.conbuildmat.2021.124913",2021,Ref-75-Research
SSP150,540.00,"Ordinary Portland Cement (OPC, P?O 52.5)",52.50,187.00,0.00,,270.00,0.00,0.00,0.00,0.00,0.00,150.00,,0.00,0.00,0.00,0.00,0.00,,920.00,Natural River sand,0.60,,,,,,,,,,,,,204,PC-100 polycarboxylic ether superplasticizer (SP),41.8,Standard Curing ,20.00,95.00,,EFNARC,,233,40 x 40 x 160 , EN-196–1 ,,75.45,92.24,,,128.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SSP100,590.00,"Ordinary Portland Cement (OPC, P?O 52.5)",52.50,187.00,0.00,,270.00,0.00,0.00,0.00,0.00,0.00,100.00,,0.00,0.00,0.00,0.00,0.00,,920.00,Natural River sand,0.60,,,,,,,,,,,,,204,PC-100 polycarboxylic ether superplasticizer (SP),41.8,Standard Curing ,20.00,95.00,,EFNARC,,241,40 x 40 x 160 , EN-196–1 ,,72.25,91.67,,,128.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SSP50,640.00,"Ordinary Portland Cement (OPC, P?O 52.5)",52.50,187.00,0.00,,270.00,0.00,0.00,0.00,0.00,0.00,50.00,,0.00,0.00,0.00,0.00,0.00,,920.00,Natural River sand,0.60,,,,,,,,,,,,,204,PC-100 polycarboxylic ether superplasticizer (SP),41.8,Standard Curing ,20.00,95.00,,EFNARC,,247,40 x 40 x 160 , EN-196–1 ,,70.09,89.6,,,130.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SSP0,690.00,"Ordinary Portland Cement (OPC, P?O 52.5)",52.50,187.00,0.00,,270.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,920.00,Natural River sand,0.60,,,,,,,,,,,,,204,PC-100 polycarboxylic ether superplasticizer (SP),41.8,Standard Curing ,20.00,95.00,,EFNARC,,268,40 x 40 x 160 , EN-196–1 ,,63.44,85.1,,,130.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CTRL,830.00,Ordinary Portland cement (CEM-I 42.5-R),42.50,291.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,977.00,Quartz Sand ,3.00,Steel Fiber ,234.00,6.00,0.150,2250.000,,,,,,,,151.00,"polycarboxylate-based
superplasticizer (SP)",55.00,Standard Curing ,20.00,,,,,115.00,40 x 40 x 40 ,,,,,,,202.00,,,,,,,,,,,,40 x 40 x 160 ,,,,28.60,,,12.70,,,,,,,,,,,,,,,,Turkey,"Mechanical properties of reactive powder concrete containing mineral
admixtures under different curing regimes

https://doi.org/10.1016/j.conbuildmat.2008.08.003",2008,Ref-76-Research
G10F10,664.00,Ordinary Portland cement (CEM-I 42.5-R),42.50,205.00,83.00,Class C,0.00,0.00,0.00,0.00,0.00,83.00,0.00,,0.00,0.00,0.00,0.00,0.00,,1041.00,Quartz Sand ,3.00,Steel Fiber ,234.00,6.00,0.150,2250.000,,,,,,,,151.00,"polycarboxylate-based
superplasticizer (SP)",35.00,Standard Curing ,20.00,,,,,115.00,40 x 40 x 40 ,,,,,,,207.00,,,,,,,,,,,,40 x 40 x 160 ,,,,30.70,,,15.00,,,,,,,,,,,,,,,,,,,
G10F20,581.00,Ordinary Portland cement (CEM-I 42.5-R),42.50,157.00,166.00,Class C,0.00,0.00,0.00,0.00,0.00,83.00,0.00,,0.00,0.00,0.00,0.00,0.00,,1066.00,Quartz Sand ,3.00,Steel Fiber ,234.00,6.00,0.150,2250.000,,,,,,,,151.00,"polycarboxylate-based
superplasticizer (SP)",34.00,Standard Curing ,20.00,,,,,113.00,40 x 40 x 40 ,,,,,,,212.00,,,,,,,,,,,,40 x 40 x 160 ,,,,35.50,,,15.70,,,,,,,,,,,,,,,,,,,
G10F30,498.00,Ordinary Portland cement (CEM-I 42.5-R),42.50,141.00,249.00,Class C,0.00,0.00,0.00,0.00,0.00,83.00,0.00,,0.00,0.00,0.00,0.00,0.00,,1058.00,Quartz Sand ,3.00,Steel Fiber ,234.00,6.00,0.150,2250.000,,,,,,,,151.00,"polycarboxylate-based
superplasticizer (SP)",33.00,Standard Curing ,20.00,,,,,113.00,40 x 40 x 40 ,,,,,,,206.00,,,,,,,,,,,,40 x 40 x 160 ,,,,38.70,,,18.50,,,,,,,,,,,,,,,,,,,
F20,664.00,Ordinary Portland cement (CEM-I 42.5-R),42.50,195.00,166.00,Class C,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,1030.00,Quartz Sand ,3.00,Steel Fiber ,234.00,6.00,0.150,2250.000,,,,,,,,151.00,"polycarboxylate-based
superplasticizer (SP)",38.00,Standard Curing ,20.00,,,,,114.00,40 x 40 x 40 ,,,,,,,210.00,,,,,,,,,,,,40 x 40 x 160 ,,,,34.60,,,17.90,,,,,,,,,,,,,,,,,,,
G40,498.00,Ordinary Portland cement (CEM-I 42.5-R),42.50,173.00,0.00,,0.00,0.00,0.00,0.00,0.00,332.00,0.00,,0.00,0.00,0.00,0.00,0.00,,1079.00,Quartz Sand ,3.00,Steel Fiber ,234.00,6.00,0.150,2250.000,,,,,,,,151.00,"polycarboxylate-based
superplasticizer (SP)",35.00,Standard Curing ,20.00,,,,,117.00,40 x 40 x 40 ,,,,,,,200.00,,,,,,,,,,,,40 x 40 x 160 ,,,,34.50,,,16.20,,,,,,,,,,,,,,,,,,,
CTRL,830.00,Ordinary Portland cement (CEM-I 42.5-R),42.50,291.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,977.00,Quartz Sand ,3.00,Steel Fiber ,234.00,6.00,0.150,2250.000,,,,,,,,151.00,"polycarboxylate-based
superplasticizer (SP)",55.00,Steam curing,100.00,,,,,115.00,40 x 40 x 40 ,,,,,,,255.00,,,,,,,,,,,,40 x 40 x 160 ,,,,23.40,,,9.50,,,,,,,,,,,,,,,,,,,
G10F10,664.00,Ordinary Portland cement (CEM-I 42.5-R),42.50,205.00,83.00,Class C,0.00,0.00,0.00,0.00,0.00,83.00,0.00,,0.00,0.00,0.00,0.00,0.00,,1041.00,Quartz Sand ,3.00,Steel Fiber ,234.00,6.00,0.150,2250.000,,,,,,,,151.00,"polycarboxylate-based
superplasticizer (SP)",35.00,Steam curing,100.00,,,,,115.00,40 x 40 x 40 ,,,,,,,261.00,,,,,,,,,,,,40 x 40 x 160 ,,,,31.80,,,13.55,,,,,,,,,,,,,,,,,,,
G10F20,581.00,Ordinary Portland cement (CEM-I 42.5-R),42.50,157.00,166.00,Class C,0.00,0.00,0.00,0.00,0.00,83.00,0.00,,0.00,0.00,0.00,0.00,0.00,,1066.00,Quartz Sand ,3.00,Steel Fiber ,234.00,6.00,0.150,2250.000,,,,,,,,151.00,"polycarboxylate-based
superplasticizer (SP)",34.00,Steam curing,100.00,,,,,113.00,40 x 40 x 40 ,,,,,,,252.00,,,,,,,,,,,,40 x 40 x 160 ,,,,30.20,,,11.80,,,,,,,,,,,,,,,,,,,
G10F30,498.00,Ordinary Portland cement (CEM-I 42.5-R),42.50,141.00,249.00,Class C,0.00,0.00,0.00,0.00,0.00,83.00,0.00,,0.00,0.00,0.00,0.00,0.00,,1058.00,Quartz Sand ,3.00,Steel Fiber ,234.00,6.00,0.150,2250.000,,,,,,,,151.00,"polycarboxylate-based
superplasticizer (SP)",33.00,Steam curing,100.00,,,,,113.00,40 x 40 x 40 ,,,,,,,234.00,,,,,,,,,,,,40 x 40 x 160 ,,,,26.70,,,12.10,,,,,,,,,,,,,,,,,,,
F20,664.00,Ordinary Portland cement (CEM-I 42.5-R),42.50,195.00,166.00,Class C,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,1030.00,Quartz Sand ,3.00,Steel Fiber ,234.00,6.00,0.150,2250.000,,,,,,,,151.00,"polycarboxylate-based
superplasticizer (SP)",38.00,Steam curing,100.00,,,,,114.00,40 x 40 x 40 ,,,,,,,261.00,,,,,,,,,,,,40 x 40 x 160 ,,,,30.70,,,12.70,,,,,,,,,,,,,,,,,,,
G40,498.00,Ordinary Portland cement (CEM-I 42.5-R),42.50,173.00,0.00,,0.00,0.00,0.00,0.00,0.00,332.00,0.00,,0.00,0.00,0.00,0.00,0.00,,1079.00,Quartz Sand ,3.00,Steel Fiber ,234.00,6.00,0.150,2250.000,,,,,,,,151.00,"polycarboxylate-based
superplasticizer (SP)",35.00,Steam curing,100.00,,,,,117.00,40 x 40 x 40 ,,,,,,,249.00,,,,,,,,,,,,40 x 40 x 160 ,,,,29.50,,,12.30,,,,,,,,,,,,,,,,,,,
