original_feature,repeat,baseline_rmse,permuted_rmse,rmse_delta
fly_ash,19,29.127843361357257,29.279561931513534,0.15171857015627666
fly_ash,20,29.127843361357257,29.32531913480146,0.19747577344420364
fly_ash,21,29.127843361357257,29.194216542640287,0.06637318128302994
fly_ash,22,29.127843361357257,29.227282023710973,0.09943866235371601
fly_ash,23,29.127843361357257,29.269970817085,0.1421274557277421
fly_ash,24,29.127843361357257,29.241694574324875,0.11385121296761724
fly_ash,25,29.127843361357257,29.239620681065006,0.11177731970774829
fly_ash,26,29.127843361357257,29.237325520522088,0.1094821591648305
fly_ash,27,29.127843361357257,29.30793001193162,0.18008665057436346
fly_ash,28,29.127843361357257,29.1302000134593,0.0023566521020441655
fly_ash,29,29.127843361357257,29.248587188741713,0.12074382738445522
fly_ash_type,0,29.127843361357257,29.25794324325405,0.13009988189679333
fly_ash_type,1,29.127843361357257,29.365190533877676,0.23734717252041904
fly_ash_type,2,29.127843361357257,29.175849641005918,0.048006279648660666
fly_ash_type,3,29.127843361357257,29.21335140988677,0.08550804852951188
fly_ash_type,4,29.127843361357257,29.172599708171145,0.044756346813887404
fly_ash_type,5,29.127843361357257,29.220186883527617,0.0923435221703599
fly_ash_type,6,29.127843361357257,29.285729580618632,0.1578862192613748
fly_ash_type,7,29.127843361357257,29.379792202010055,0.25194884065279766
fly_ash_type,8,29.127843361357257,29.450036330158053,0.3221929688007954
fly_ash_type,9,29.127843361357257,29.135379553021515,0.007536191664257785
fly_ash_type,10,29.127843361357257,29.553081977648585,0.42523861629132753
fly_ash_type,11,29.127843361357257,29.110086199013775,-0.017757162343482236
fly_ash_type,12,29.127843361357257,29.118683834900274,-0.009159526456983258
fly_ash_type,13,29.127843361357257,29.261857454889775,0.13401409353251736
fly_ash_type,14,29.127843361357257,29.27581228868394,0.14796892732668354
fly_ash_type,15,29.127843361357257,29.445959941369026,0.31811658001176824
fly_ash_type,16,29.127843361357257,29.192346884852142,0.06450352349488497
fly_ash_type,17,29.127843361357257,29.419826318714875,0.29198295735761803
fly_ash_type,18,29.127843361357257,29.175439127004186,0.047595765646928356
fly_ash_type,19,29.127843361357257,29.310002772016063,0.18215941065880514
fly_ash_type,20,29.127843361357257,29.03877615714344,-0.08906720421381564
fly_ash_type,21,29.127843361357257,29.264010476112922,0.1361671147556649
fly_ash_type,22,29.127843361357257,29.316490540956874,0.18864717959961652
fly_ash_type,23,29.127843361357257,29.06530732616426,-0.06253603519299844
fly_ash_type,24,29.127843361357257,29.40408293310717,0.27623957174991176
fly_ash_type,25,29.127843361357257,29.44670156194887,0.3188582005916132
fly_ash_type,26,29.127843361357257,29.224589624503544,0.09674626314628654
fly_ash_type,27,29.127843361357257,29.41038984109876,0.2825464797415016
fly_ash_type,28,29.127843361357257,29.271556805104524,0.14371344374726647
fly_ash_type,29,29.127843361357257,29.366484071652742,0.23864071029548484
limestone_powder,0,29.127843361357257,29.02962879004793,-0.09821457130932743
limestone_powder,1,29.127843361357257,29.102545456983957,-0.02529790437329993
limestone_powder,2,29.127843361357257,29.086689761555284,-0.04115359980197297
limestone_powder,3,29.127843361357257,29.10682841049622,-0.021014950861037107
limestone_powder,4,29.127843361357257,29.14830454613747,0.020461184780213415
