feature_group,features_permuted,n_features_permuted,repeat,baseline_rmse,permuted_rmse,rmse_delta
fibers,"fiber1_type,fiber1_amount,fiber1_length,fiber1_diameter,fiber2_type,fiber2_amount",6,14,29.127843361357257,34.00147940024836,4.8736360388910995
fibers,"fiber1_type,fiber1_amount,fiber1_length,fiber1_diameter,fiber2_type,fiber2_amount",6,15,29.127843361357257,33.3046391951876,4.17679583383034
fibers,"fiber1_type,fiber1_amount,fiber1_length,fiber1_diameter,fiber2_type,fiber2_amount",6,16,29.127843361357257,32.25871504075833,3.130871679401075
fibers,"fiber1_type,fiber1_amount,fiber1_length,fiber1_diameter,fiber2_type,fiber2_amount",6,17,29.127843361357257,33.16237841328265,4.0345350519253955
fibers,"fiber1_type,fiber1_amount,fiber1_length,fiber1_diameter,fiber2_type,fiber2_amount",6,18,29.127843361357257,32.52433778307881,3.396494421721556
fibers,"fiber1_type,fiber1_amount,fiber1_length,fiber1_diameter,fiber2_type,fiber2_amount",6,19,29.127843361357257,32.99842140052481,3.8705780391675546
fibers,"fiber1_type,fiber1_amount,fiber1_length,fiber1_diameter,fiber2_type,fiber2_amount",6,20,29.127843361357257,32.823189747019185,3.695346385661928
fibers,"fiber1_type,fiber1_amount,fiber1_length,fiber1_diameter,fiber2_type,fiber2_amount",6,21,29.127843361357257,33.09206299594804,3.9642196345907834
fibers,"fiber1_type,fiber1_amount,fiber1_length,fiber1_diameter,fiber2_type,fiber2_amount",6,22,29.127843361357257,33.223394525215106,4.095551163857849
fibers,"fiber1_type,fiber1_amount,fiber1_length,fiber1_diameter,fiber2_type,fiber2_amount",6,23,29.127843361357257,33.80899310703389,4.681149745676635
fibers,"fiber1_type,fiber1_amount,fiber1_length,fiber1_diameter,fiber2_type,fiber2_amount",6,24,29.127843361357257,32.501670250276305,3.373826888919048
fibers,"fiber1_type,fiber1_amount,fiber1_length,fiber1_diameter,fiber2_type,fiber2_amount",6,25,29.127843361357257,33.283344371352854,4.1555010099955965
