policy,experiment,exploratory,model,split,n_rows,MAE,RMSE,R2,R,Bias,MedianAE,experiment_family,lower_quantile,upper_quantile,lower_threshold,upper_threshold,training_rows_before,training_rows_after,training_rows_removed
shared_semantic_recoding_50_percent,outliers_removed_from_training,False,Elastic Net,train,1375,16.487006948957294,21.16857611613643,0.5321667733168333,0.7296436738900915,-0.0487650265722608,13.38868229394238,outlier_sensitivity,0.025,0.975,93.1,231.5999999999999,1449.0,1375.0,74.0
shared_semantic_recoding_50_percent,outliers_removed_from_training,False,Elastic Net,validation,311,17.544893938439834,22.877037787493848,0.6335698298392141,0.8077756624103242,0.38436561276190934,13.885874661797573,outlier_sensitivity,0.025,0.975,93.1,231.5999999999999,1449.0,1375.0,74.0
shared_semantic_recoding_50_percent,outliers_removed_from_training,False,Elastic Net,test,313,17.22024219725324,22.319206562762755,0.6467742746148999,0.8204432650254642,3.5822783322236518,13.569588193042335,outlier_sensitivity,0.025,0.975,93.1,231.5999999999999,1449.0,1375.0,74.0
shared_semantic_recoding_50_percent,outliers_removed_from_training,False,Bayesian Ridge,train,1375,16.700011391199205,21.40125183490262,0.5218258163898657,0.7228262693792286,-0.04914117223601269,13.322091952176493,outlier_sensitivity,0.025,0.975,93.1,231.5999999999999,1449.0,1375.0,74.0
shared_semantic_recoding_50_percent,outliers_removed_from_training,False,Bayesian Ridge,validation,311,17.749999769702622,23.166792796972178,0.62422881535378,0.8058029158279654,0.08613293407711609,14.046978768704463,outlier_sensitivity,0.025,0.975,93.1,231.5999999999999,1449.0,1375.0,74.0
shared_semantic_recoding_50_percent,outliers_removed_from_training,False,Bayesian Ridge,test,313,17.395623493601857,22.643836846038877,0.6364242936075295,0.8170041559820973,3.0838410145918456,13.387095955049233,outlier_sensitivity,0.025,0.975,93.1,231.5999999999999,1449.0,1375.0,74.0
shared_semantic_recoding_50_percent,outliers_removed_from_training,False,Polynomial Ridge,train,1375,8.733230328393596,12.283165379496353,0.8424826602987541,0.9186357450419762,0.012310637105496756,6.029020917551293,outlier_sensitivity,0.025,0.975,93.1,231.5999999999999,1449.0,1375.0,74.0
shared_semantic_recoding_50_percent,outliers_removed_from_training,False,Polynomial Ridge,validation,311,30.50900661618694,335.00165548622186,-77.57521022073013,0.10630878382412037,-18.348578497416412,8.49881931535559,outlier_sensitivity,0.025,0.975,93.1,231.5999999999999,1449.0,1375.0,74.0
shared_semantic_recoding_50_percent,outliers_removed_from_training,False,Polynomial Ridge,test,313,11.793612960359088,16.447712978438055,0.8081747115495113,0.8999348290263,1.260449390645997,8.112642716366508,outlier_sensitivity,0.025,0.975,93.1,231.5999999999999,1449.0,1375.0,74.0
shared_semantic_recoding_50_percent,original_features,True,OLS,train,1449,17.45222956101516,22.429983989396586,0.6067236534311604,0.7789293065363031,0.05193073932302605,14.523978511838436,engineering_features,,,,,,,
shared_semantic_recoding_50_percent,original_features,True,OLS,validation,311,16.974919263547957,21.96266229372352,0.6622762424088581,0.8142148369014705,-0.9499899055672949,13.416459199560677,engineering_features,,,,,,,
shared_semantic_recoding_50_percent,original_features,True,OLS,test,313,16.557271465774065,21.08705246414493,0.6846981059376223,0.8319076500957998,3.182580095478014,13.68045168084194,engineering_features,,,,,,,
shared_semantic_recoding_50_percent,original_features,True,Elastic Net,train,1449,17.569639982547393,22.520612473045368,0.6035391620916686,0.7769682616432101,0.05201275665030494,14.604675113342495,engineering_features,,,,,,,
shared_semantic_recoding_50_percent,original_features,True,Elastic Net,validation,311,16.96707151079029,21.774309426282414,0.6680440742637918,0.818095571945635,-1.1437786436772146,13.806593732778424,engineering_features,,,,,,,
shared_semantic_recoding_50_percent,original_features,True,Elastic Net,test,313,16.52981759152751,20.933014799672115,0.6892877445542857,0.834423890574175,2.899709568603058,13.798908193327918,engineering_features,,,,,,,
shared_semantic_recoding_50_percent,original_features,True,Bayesian Ridge,train,1449,17.705359420114835,22.68745280561107,0.5976431703324974,0.7733013774491702,0.052202920673968006,14.251152685325536,engineering_features,,,,,,,
shared_semantic_recoding_50_percent,original_features,True,Bayesian Ridge,validation,311,16.990839823943833,21.742525107241676,0.6690124900344376,0.8194996641978299,-1.2763691704639266,13.95706658674223,engineering_features,,,,,,,
shared_semantic_recoding_50_percent,original_features,True,Bayesian Ridge,test,313,16.562743701630453,20.93484018166194,0.6892335532885363,0.8346953681789946,2.6601630361116855,13.809537784439982,engineering_features,,,,,,,
shared_semantic_recoding_50_percent,original_features,True,Polynomial Ridge,train,1449,8.80129161838028,12.428293657751121,0.8792567358935234,0.938172029569814,0.03567291678933739,5.803524753175196,engineering_features,,,,,,,
shared_semantic_recoding_50_percent,original_features,True,Polynomial Ridge,validation,311,30.645163356341047,343.3436490447942,-81.53719058237076,0.11176465173831365,-19.820460319623603,7.9842388460673135,engineering_features,,,,,,,
shared_semantic_recoding_50_percent,original_features,True,Polynomial Ridge,test,313,11.1444604733047,15.508809541739222,0.8294499905922634,0.9133973986388271,1.413218455419179,7.7219248744744675,engineering_features,,,,,,,
shared_semantic_recoding_50_percent,engineered_ratio_features,True,OLS,train,1449,17.46048647359485,22.684758827371027,0.5977387188454062,0.7731465504016987,0.07894679611452694,13.672666618074885,engineering_features,,,,,,,
shared_semantic_recoding_50_percent,engineered_ratio_features,True,OLS,validation,311,16.813360026987255,21.687535693731256,0.6706845858894438,0.8198973290424477,-0.7480649100553083,13.157545154815978,engineering_features,,,,,,,
shared_semantic_recoding_50_percent,engineered_ratio_features,True,OLS,test,313,16.726613545834685,21.56853895535518,0.6701349702069974,0.823198013099144,2.990407597141971,12.79354124353722,engineering_features,,,,,,,
shared_semantic_recoding_50_percent,engineered_ratio_features,True,Elastic Net,train,1449,17.641638293753353,22.79683020227902,0.5937542518925571,0.7706993876133613,0.07746485250308358,14.254238424210484,engineering_features,,,,,,,
shared_semantic_recoding_50_percent,engineered_ratio_features,True,Elastic Net,validation,311,16.876030373776636,21.693855726493716,0.6704926242491233,0.8209632875577181,-1.0443944786122217,13.540474244510307,engineering_features,,,,,,,
shared_semantic_recoding_50_percent,engineered_ratio_features,True,Elastic Net,test,313,16.775194454583296,21.40661347903195,0.6750692915784299,0.8265202997302831,2.727696604755281,12.789025051173596,engineering_features,,,,,,,
shared_semantic_recoding_50_percent,engineered_ratio_features,True,Bayesian Ridge,train,1449,17.818725355120733,22.946482414987837,0.5884030584089881,0.767318553906607,0.0756539546894474,14.245447579032799,engineering_features,,,,,,,
shared_semantic_recoding_50_percent,engineered_ratio_features,True,Bayesian Ridge,validation,311,17.024893826273114,21.811270186124844,0.6669161618881931,0.8196434166836244,-1.2549341059899304,13.705689374310722,engineering_features,,,,,,,
shared_semantic_recoding_50_percent,engineered_ratio_features,True,Bayesian Ridge,test,313,16.873699881001055,21.405921737661135,0.6750902911057268,0.826880060112582,2.541919642046653,13.35173957662559,engineering_features,,,,,,,
shared_semantic_recoding_50_percent,engineered_ratio_features,True,Polynomial Ridge,train,1449,10.56492455749893,14.615781491779611,0.8330124923220662,0.9129372535575716,-0.006955998237225375,7.576507213587092,engineering_features,,,,,,,
shared_semantic_recoding_50_percent,engineered_ratio_features,True,Polynomial Ridge,validation,311,19.80894504522838,125.7673588327845,-10.07458667497626,0.2514090819902161,-7.610117641060294,9.37253326017185,engineering_features,,,,,,,
shared_semantic_recoding_50_percent,engineered_ratio_features,True,Polynomial Ridge,test,313,13.225560591038743,18.138419063189243,0.7667113094513478,0.8790646889423953,1.4938462478933225,9.343394070109838,engineering_features,,,,,,,
