model,candidate_parameters,rank_cv_RMSE,mean_cv_RMSE,std_cv_RMSE,mean_train_cv_RMSE,mean_fit_time_seconds,std_fit_time_seconds
Elastic Net,"{""model__alpha"": 0.001, ""model__l1_ratio"": 0.9}",20,28.719787466415735,2.5458024554515277,19.51204510319167,0.04630605379740397,0.03010485372766263
Elastic Net,"{""model__alpha"": 10.0, ""model__l1_ratio"": 0.9}",21,31.062074554714545,3.8903382279066014,29.651711742371486,0.008701562881469727,9.673117071271524e-05
Elastic Net,"{""model__alpha"": 10.0, ""model__l1_ratio"": 0.7}",22,31.824104880736673,3.7509948221432867,30.54467583185486,0.009112199147542318,0.00033825428591432245
Elastic Net,"{""model__alpha"": 10.0, ""model__l1_ratio"": 0.1}",23,31.93855293495473,3.675066762884326,30.529470444431524,0.009143670399983725,0.00031253619310920476
Elastic Net,"{""model__alpha"": 10.0, ""model__l1_ratio"": 0.3}",24,31.97683621988263,3.6699462757784027,30.66735062748766,0.009016036987304688,0.0003148188916988463
Elastic Net,"{""model__alpha"": 10.0, ""model__l1_ratio"": 0.5}",25,31.97898569228583,3.701007707255355,30.717362847764807,0.008635361989339193,7.659641878415546e-05
Bayesian Ridge,"{""model__alpha_1"": 1e-07, ""model__lambda_1"": 1e-05}",1,27.58685581808893,2.1925398936576066,19.718114302540247,0.010695139567057291,0.00019479973271328659
Bayesian Ridge,"{""model__alpha_1"": 1e-06, ""model__lambda_1"": 1e-05}",2,27.58685581961205,2.192539893765735,19.718114301885716,0.010921637217203775,0.00035110308921672056
Bayesian Ridge,"{""model__alpha_1"": 1e-05, ""model__lambda_1"": 1e-05}",3,27.586855834843238,2.1925398948470485,19.718114295340442,0.010621309280395508,0.00023821973455984027
Bayesian Ridge,"{""model__alpha_1"": 1e-07, ""model__lambda_1"": 1e-06}",4,27.586856196919086,2.192539932295266,19.7181141415456,0.010925054550170898,0.0005806387748058777
Bayesian Ridge,"{""model__alpha_1"": 1e-06, ""model__lambda_1"": 1e-06}",5,27.586856198442202,2.1925399324033976,19.71811414089107,0.011225382486979166,0.0007233935671041836
Bayesian Ridge,"{""model__alpha_1"": 1e-05, ""model__lambda_1"": 1e-06}",6,27.586856213673382,2.1925399334847246,19.718114134345797,0.01114328702290853,0.0005249156814674637
Bayesian Ridge,"{""model__alpha_1"": 1e-07, ""model__lambda_1"": 1e-07}",7,27.58685623480211,2.1925399361590396,19.71811412544614,0.012953042984008789,0.0031365318412881174
Bayesian Ridge,"{""model__alpha_1"": 1e-06, ""model__lambda_1"": 1e-07}",8,27.58685623632522,2.192539936267177,19.71811412479161,0.010734160741170248,0.00031913769334757444
Bayesian Ridge,"{""model__alpha_1"": 1e-05, ""model__lambda_1"": 1e-07}",9,27.58685625155641,2.192539937348494,19.718114118246337,0.01089334487915039,0.00011779727739027817
Polynomial Ridge,"{""model__alpha"": 1000.0, ""poly__degree"": 2}",1,28.923360938296952,3.322675701895864,13.633636808415782,0.028919140497843426,0.0032149419805151897
Polynomial Ridge,"{""model__alpha"": 100.0, ""poly__degree"": 2}",2,35.265470246296,6.712141899784658,9.959102932167626,0.04291200637817383,0.005315016439056192
Polynomial Ridge,"{""model__alpha"": 10.0, ""poly__degree"": 2}",3,61.57507114700163,28.529640698498564,8.636335638301766,0.07442069053649902,0.01022830566403496
Polynomial Ridge,"{""model__alpha"": 1.0, ""poly__degree"": 2}",4,110.48280698910882,49.43914902145355,8.91841797382826,0.13848106066385904,0.023459116231491196
Polynomial Ridge,"{""model__alpha"": 0.1, ""poly__degree"": 2}",5,179.48639021176163,59.9235094342013,10.336260380783452,0.2515259583791097,0.029401709040072724
