model,publication_group,publication_source,publication_country,publication_year,n_rows,MAE,RMSE,R2,R,Bias,MedianAE,MaximumAE,target_mean,target_min,target_max,worst_row_squared_error_share,dominant_residual_direction,numeric_out_of_training_range_rate,unseen_category_rate
Elastic Net,Ref-139-Research,shared_semantic_dataset,,,51,19.0631799165336,25.504933739653175,-0.6673602809460104,0.47350379268403425,-16.393677717467146,14.413679236665786,64.18888864635959,134.10196078431372,80.0,169.3,0.12419414947719201,overprediction,0.00980392156862745,0.004357298474945534
Elastic Net,Ref-141-Research,shared_semantic_dataset,,,73,18.384810274748073,21.01127769807785,-1.8315100730265685,0.6024040742177326,-18.32880693572271,18.060701553762584,50.83814041203655,132.5068493150685,105.4,163.7,0.08019578208128894,overprediction,0.0,0.0
Bayesian Ridge,Ref-141-Research,shared_semantic_dataset,,,73,38.183400129520265,39.620405152283894,-9.06818089836147,0.6193144364377339,-38.183400129520265,37.23392311058794,71.28077120597425,132.5068493150685,105.4,163.7,0.044338816327841174,overprediction,0.0,0.0
Bayesian Ridge,Ref-121-Research,shared_semantic_dataset,,,80,28.596458906653538,35.23429942688373,-0.469144841919511,0.33520596410599707,-20.221385023989434,24.067967979027685,88.86416929807837,165.075,110.0,225.0,0.07951189470627111,overprediction,0.0,0.0
Bayesian Ridge,Ref-139-Research,shared_semantic_dataset,,,51,24.893981585039477,31.346515537814664,-1.518602304174879,0.4733503547805863,-23.600812281693937,21.21458752805512,76.43218115885345,134.10196078431372,80.0,169.3,0.11657456047588133,overprediction,0.00980392156862745,0.004357298474945534
Bayesian Ridge,Ref-85-Research,shared_semantic_dataset,,,64,23.038878297097725,27.685867192997662,0.1701941286475952,0.9446023710507092,18.3193613243007,19.115915001066767,58.745398215661965,173.25,112.0,232.0,0.07034795346250323,underprediction,0.0,0.0
Bayesian Ridge,Ref-144-Research,shared_semantic_dataset,,,112,22.701789205506266,27.060741142701577,0.18261871254497364,0.7856652269420493,15.997181079421564,19.846546243866726,67.59062150746706,157.05357142857142,90.0,229.0,0.0557026020830982,underprediction,0.00818452380952381,0.0
Bayesian Ridge,Ref-48-Research,shared_semantic_dataset,,,72,21.019637221524945,25.965034562201314,0.15699269254176562,0.4792288797681372,6.401554967746766,18.04986466467426,66.05501616264584,188.10416666666666,100.0,234.0,0.08988791355194288,underprediction,0.0,0.09259259259259259
Polynomial Ridge,Ref-48-Research,shared_semantic_dataset,,,72,82.52035582515782,99.13788579734047,-11.289460983172317,-0.209099101121864,70.9104123641377,64.86607854799495,257.90889092390887,188.10416666666666,100.0,234.0,0.09399847881197167,underprediction,0.0,0.09259259259259259
Polynomial Ridge,Ref-141-Research,shared_semantic_dataset,,,73,48.596837032553736,83.61639269617976,-43.84314266423358,-0.2891501413838125,44.75690860895263,15.916469043881193,287.5966050048794,132.5068493150685,105.4,163.7,0.16205476096168261,underprediction,0.0,0.0
Polynomial Ridge,Ref-139-Research,shared_semantic_dataset,,,51,29.200382748407943,34.79446250751578,-2.1031396225168706,0.3691869349944003,-15.29061558005605,24.030167159698607,78.95331453517213,134.10196078431372,80.0,169.3,0.10096022120236944,overprediction,0.00980392156862745,0.004357298474945534
Polynomial Ridge,Ref-85-Research,shared_semantic_dataset,,,64,29.364406378321846,34.713831326068785,-0.30456384622998556,0.9174980374872548,26.117085846561515,26.369358209288222,69.2297513141014,173.25,112.0,232.0,0.06214418135679775,underprediction,0.0,0.0
Polynomial Ridge,Ref-144-Research,shared_semantic_dataset,,,112,19.70999889189785,26.4344228784109,0.22001727571084306,0.483216224307423,3.475183366177798,12.978280860007317,66.01288015265874,157.05357142857142,90.0,229.0,0.05568005734136263,underprediction,0.00818452380952381,0.0
