cement,cement_type,silica_fume,fly_ash,limestone_powder,quartz_powder,glass_powder,rice_husk_ash,metakaolin,ggbfs,slag,nano_caco3,nano_al2o3,nano_tio2,nano_sio2,filler,sand,sand_type,sand_max_size,water,sp_type,sp_amount,curing_method,curing_temp,cs_28d
900.0,OPC_I,209.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,Fine Dune Sand,0.6,162.0,PCE_HRWRA,40.0,Standard Curing,22.0,159.0
900.0,OPC_I,198.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,990.0,Fine Dune Sand,0.6,162.0,PCE_HRWRA,40.0,Standard Curing,22.0,146.0
900.0,OPC_I,176.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,985.0,Fine Dune Sand,0.6,162.0,PCE_HRWRA,40.0,Standard Curing,22.0,152.0
900.0,OPC_I,209.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,1008.0,Fine Dune Sand,0.6,162.0,PCE_HRWRA,40.0,Standard Curing,22.0,144.0
900.0,OPC_I,198.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,1000.0,Fine Dune Sand,0.6,162.0,PCE_HRWRA,40.0,Standard Curing,22.0,142.0
900.0,OPC_I,176.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,1015.0,Fine Dune Sand,0.6,162.0,PCE_HRWRA,40.0,Standard Curing,22.0,152.0
900.0,OPC_I,209.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,1010.0,Fine Dune Sand,0.6,162.0,PCE_HRWRA,40.0,Standard Curing,22.0,134.0
900.0,OPC_I,198.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,1000.0,Fine Dune Sand,0.6,162.0,PCE_HRWRA,40.0,Standard Curing,22.0,140.0
900.0,OPC_I,176.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,1025.0,Fine Dune Sand,0.6,162.0,PCE_HRWRA,40.0,Standard Curing,22.0,161.0
900.0,OPC_I,220.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,931.0,Fine Dune Sand,0.6,162.0,PCE_HRWRA,40.0,Standard Curing,22.0,125.0
900.0,OPC_I,220.0,0.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,868.0,Fine Dune Sand,0.6,162.0,PCE_HRWRA,40.0,Standard Curing,22.0,163.0
900.0,OPC_I,220.0,0.0,153.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,764.0,Fine Dune Sand,0.6,162.0,PCE_HRWRA,40.0,Standard Curing,22.0,132.0
900.0,OPC_I,220.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,962.0,Fine Dune Sand,0.6,162.0,PCE_HRWRA,40.0,Standard Curing,22.0,153.0
900.0,OPC_I,220.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,922.0,Fine Dune Sand,0.6,162.0,PCE_HRWRA,40.0,Standard Curing,22.0,135.0
900.0,OPC_I,220.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0,851.0,Fine Dune Sand,0.6,162.0,PCE_HRWRA,40.0,Standard Curing,22.0,100.0
900.0,OPC_I,220.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,972.0,Fine Dune Sand,0.6,162.0,PCE_HRWRA,40.0,Standard Curing,22.0,161.0
900.0,OPC_I,220.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,0.0,0.0,0.0,0.0,0.0,942.0,Fine Dune Sand,0.6,162.0,PCE_HRWRA,40.0,Standard Curing,22.0,153.0
900.0,OPC_I,220.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,177.0,0.0,0.0,0.0,0.0,0.0,886.0,Fine Dune Sand,0.6,162.0,PCE_HRWRA,40.0,Standard Curing,22.0,160.0
828.0,OPC_52.5,207.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,911.0,Silica Sand,0.3,224.6,,26.4,Standard Curing,20.0,98.0
818.0,OPC_52.5,204.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,899.0,Silica Sand,0.3,221.8,,26.0,Standard Curing,20.0,192.0
726.0,OPC_52.5,181.0,0.0,0.0,290.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,789.0,Silica Sand,0.3,196.9,,23.1,Standard Curing,20.0,119.0
691.0,OPC_52.5,172.0,0.0,0.0,276.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,759.0,Silica Sand,0.3,187.3,,22.0,Standard Curing,20.0,155.0
828.0,OPC_52.5,0.0,0.0,0.0,0.0,0.0,0.0,207.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,911.0,Silica Sand,0.3,224.6,,26.4,Standard Curing,20.0,109.0
824.0,OPC_52.5,0.0,0.0,0.0,0.0,0.0,0.0,204.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,899.0,Silica Sand,0.3,221.8,,26.0,Standard Curing,20.0,161.0
726.0,OPC_52.5,0.0,0.0,0.0,290.0,0.0,0.0,181.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,789.0,Silica Sand,0.3,196.9,,23.1,Standard Curing,20.0,120.0
691.0,OPC_52.5,0.0,0.0,0.0,276.0,0.0,0.0,172.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,759.0,Silica Sand,0.3,187.3,,22.0,Standard Curing,20.0,146.0
828.0,OPC_52.5,207.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,911.0,Silica Sand,0.3,224.6,,26.4,Steam Curing,90.0,133.0
818.0,OPC_52.5,204.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,899.0,Silica Sand,0.3,221.8,,26.0,Steam Curing,90.0,204.0
726.0,OPC_52.5,181.0,0.0,0.0,290.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,789.0,Silica Sand,0.3,196.9,,23.1,Steam Curing,90.0,178.0
691.0,OPC_52.5,172.0,0.0,0.0,276.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,759.0,Silica Sand,0.3,187.3,,22.0,Steam Curing,90.0,216.0
828.0,OPC_52.5,0.0,0.0,0.0,0.0,0.0,0.0,207.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,911.0,Silica Sand,0.3,224.6,,26.4,Steam Curing,90.0,126.0
824.0,OPC_52.5,0.0,0.0,0.0,0.0,0.0,0.0,204.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,899.0,Silica Sand,0.3,221.8,,26.0,Steam Curing,90.0,195.0
726.0,OPC_52.5,0.0,0.0,0.0,290.0,0.0,0.0,181.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,789.0,Silica Sand,0.3,196.9,,23.1,Steam Curing,90.0,150.0
691.0,OPC_52.5,0.0,0.0,0.0,276.0,0.0,0.0,172.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,759.0,Silica Sand,0.3,187.3,,22.0,Steam Curing,90.0,205.0
828.0,OPC_52.5,207.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,911.0,Silica Sand,0.3,224.6,,26.4,Steam Curing,150.0,141.0
818.0,OPC_52.5,204.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,899.0,Silica Sand,0.3,221.8,,26.0,Steam Curing,150.0,234.0
726.0,OPC_52.5,181.0,0.0,0.0,290.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,789.0,Silica Sand,0.3,196.9,,23.1,Steam Curing,150.0,183.0
