Mix Constitutents | Binder | Cement Amount (kg/m³),Mix Constitutents | Binder | Cement type,Mix Constitutents | Binder | Cement Grade (Mpa),Mix Constitutents | Supplementary Cementitious Materials (SCMs) | Silica Fume (kg/m³),Mix Constitutents | Supplementary Cementitious Materials (SCMs) | Flayash Amount (kg/m³),Mix Constitutents | Supplementary Cementitious Materials (SCMs) | Limestone Powder (kg/m3),Mix Constitutents | Supplementary Cementitious Materials (SCMs) | Quartzpowder (kg/m3),Mix Constitutents | Supplementary Cementitious Materials (SCMs) | Glass powder (kg/m3),Mix Constitutents | Supplementary Cementitious Materials (SCMs) | Rice husk ash (kg/m3),Mix Constitutents | Supplementary Cementitious Materials (SCMs) | Metakaolin (kg/m³),Mix Constitutents | Supplementary Cementitious Materials (SCMs) | GGBFS (kg/m³),Mix Constitutents | Supplementary Cementitious Materials (SCMs) | Slag Amount (kg/m³),Mix Constitutents | Nano Particles | Nano-CaCO3 (kg/m3),Mix Constitutents | Nano Particles | Nano-Al2O3 (kg/m3),Mix Constitutents | Nano Particles | Nano-TiO2 (kg/m3),Mix Constitutents | Nano Particles | Nano Silica (kg/m3),Mix Constitutents | Sustainable Filler | Filler (kg/m³),Mix Constitutents | Sand | Amount (kg/m³),Mix Constitutents | Sand | Sand Type,Mix Constitutents | Sand | Max Size (mm),Mix Constitutents | Fiber | Type of Fiber,Mix Constitutents | Fiber | Amount / Quantity of Fiber,Mix Constitutents | Fiber | Length (mm),Mix Constitutents | Fiber | Diameter (mm),Mix Constitutents | Water | Amount (kg/m³),Mix Constitutents | Superplasticizer | Type of Superplasticizer,Mix Constitutents | Superplasticizer | Amount (kg/m³),Curing Regime | Curing,Curing Regime | Temperature (o C)
687.0,High sulfate-resistant cement (Type HS cement),,240.0,0.0,0.0,275.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1030.0,Quartz Sand,0.6,not_applicable,0.0,,,185.0,polycarboxylate (PCE)-based HRWRA,15.0,Standard Curing,23.0
540.0,Portland cement (P·II 52.5R),52.5,108.0,432.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1296.0,Natural River sand,2.36,Steel Fiber,78.0,13.0,0.2,172.8,polycarboxylic superplasticiser,37.8,Standard Curing,20.0
857.1428571428571,"Portland cement, 42.5N",42.5,257.14285714285717,0.0,0.0,0.0,171.42857142857144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.42857142857143,0.0,1285.7142857142858,Crushed limestone,,Straight Steel Fiber,78.0,13.0,0.55,222.8571428571429,"polycarboxylic ether based, high
range water reducing",66.85714285714285,Normal Curing,
562.0,High sulfate-resistant cement (Type HS cement),,208.0,0.0,0.0,0.0,412.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,899.0,quartz sand,0.6,not_applicable,0.0,,,227.0,PCE-based SP,20.4,Hot  Curing,90.0
640.0,High sulfate-resistant cement (Type HS cement),,142.0,0.0,0.0,0.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,960.0,quartz sand,0.6,not_applicable,0.0,,,174.0,PCE-based SP,32.7,Standard Normal Curing,23.0
456.0,High sulfate-resistant cement (Type HS cement),,152.0,0.0,0.0,0.0,591.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,913.0,quartz sand,0.6,not_applicable,0.0,,,200.0,PCE-based SP,31.1,Hot  Curing,90.0
900.0,portland cement,,180.0,0.0,0.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1080.0,Quartz sand,,Straight Steel Fibers,235.5,12.0,0.2,207.0,polycarboxylate based super-plasticizer,31.5,Standard Curing,20.0
600.0,"Portland cement (PC)
52.5R",52.5,150.0,0.0,180.0,0.0,0.0,0.0,0.0,750.0,0.0,24.0,0.0,0.0,0.0,0.0,500.0,Silica Sand,0.181,PE,20.0,18.0,0.024,240.0,"high range
water reducer admixture (HRWRA)",15.0,Stnadrad curing,
788.5,Type I Portland cement,,197.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,236.6,867.4,Silica sand,0.337,Straight Steel Fibers,118.0,13.0,0.2,160.3,polycarboxylate superplasticizer,49.8,STEAM CURING,90.0
923.0769230769228,"ordinary type I Portland cement (OPC, P.O 52.5)",52.5,184.61538461538456,92.30769230769228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.461538461538456,0.0,0.0,0.0,184.61538461538456,1015.3846153846152,Silica sand,2.0,not_applicable,0.0,,,177.2307692307692,"polycarboxylate-based
high-range water-reducing admixture (HRWRA)",16.61538461538461,Heat Curing,90.0
